code,texte_source,forme_normalisee,etiquette,motif_exclusion,version_regle
N46,Aspermatogenèse,Aspermatogenèse,"","",v5
N48.3,Priapisme,Priapisme,"","",v5
N48.8,"Oedème (de) (dû à), pénis",oedème du pénis,"","",v5
N50.8,"Hypertrophie (de), épididyme",hypertrophie de l'épididyme,"","",v5
N80.9,Endométriose (de),endométriose,"","",v5
N82.5,"Fistule (de), trompe de fallope (externe)",fistule trompe de fallope,"","",v5
N92.4,"Ménorragie (primaire) (de), préclimatérique",ménorragie préclimatérique,"","",v5
O33.5,"Disproportion (foeto-pelvienne), foetale (avec foetus normal)",disproportion foetale,"","",v5
O41.1,"Infection (à) (de), membranes foetales",infection des membranes foetales,"","",v5
P35.0,"Rubéole, congénitale",rubéole congénitale,"","",v5
P96.9,"Débilité (asthénique) (générale) (secondaire à une infection), congénitale (générale)",débilité congénitale,"","",v5
Q15.0,"Kératoglobe, congénital",kératoglobe congénital,"","",v5
Q32.4,"Atrésie (congénitale) (de), bronches",atrésie des bronches,"","",v5
Q41.2,"Atrésie (congénitale) (de), iléon",atrésie de l'iléon,"","",v5
Q60.6,"Potter, faciès ou syndrome de",faciès ou syndrome de Potter,"","",v5
Q69.9,Hexadactylisme,Hexadactylisme,"","",v5
Q85.9,Hamartome,hamartome,"","",v5
Q89.1,"Ectopie (congénitale) (de), surrénale",ectopie surrénale,"","",v5
Q99.9,"Anomalie (congénitale) (type non précisé) (de), chromosomes",anomalie des chromosomes,"","",v5
R07.2,"Douleur (de), cardiaque",douleur cardiaque,"","",v5
R19.4,Transit intestinal anormal,transit intestinal anormal,"","",v5
R25.2,Spasme (de),spasme,"","",v5
R50.9,"Fièvre (de) (des) (due à), origine inconnue",fièvre origine inconnue,"","",v5
T26.6,"Corrosion, cornée",corrosion cornée,"","",v5
T27.6,"Corrosion, cavité thoracique",corrosion cavité thoracique,"","",v5
T35.5,"Gelure(s), orteils",gelure orteils,"","",v5
T69.1,"Erythème, pernio(n)",erythème pernio,"","",v5
T70.0,Aéro-otite (moyenne),Aéro-otite,"","",v5
Z21,Séropositivité au vih,séropositivité au vih,"","",v5
