code_maitre,cle,classe,sous_classe,code_atih,libelle
E78.3,E783,connu de l'ATIH,type MCO 0,E783,Hyperchylomicronémie
E78.4,E784,connu de l'ATIH,type MCO 0,E784,Autres hyperlipidémies
E78.5,E785,connu de l'ATIH,type MCO 0,E785,"Hyperlipidémie, sans précision"
E78.6,E786,connu de l'ATIH,type MCO 0,E786,Déficit en lipoprotéines
E78.8,E788,connu de l'ATIH,type MCO 0,E788,Autres anomalies du métabolisme des lipoprotéines
E78.9,E789,connu de l'ATIH,type MCO 0,E789,"Anomalie du métabolisme des lipoprotéines, sans précision"
E79.0,E790,connu de l'ATIH,type MCO 0,E790,Hyperuricémie sans signes d'arthrite inflammatoire et de maladie tophacée
E79.1,E791,connu de l'ATIH,type MCO 0,E791,Syndrome de Lesch–Nyhan
E79.8,E798,connu de l'ATIH,type MCO 0,E798,Autres anomalies du métabolisme de la purine et de la pyrimidine
E79.9,E799,connu de l'ATIH,type MCO 0,E799,"Anomalie du métabolisme de la purine et de la pyrimidine, sans précision"
E80.0,E800,connu de l'ATIH,type MCO 0,E800,Porphyrie érythropoïétique héréditaire
E80.1,E801,connu de l'ATIH,type MCO 0,E801,Porphyrie cutanée tardive
E80.2,E802,connu de l'ATIH,type MCO 0,E802,Autres porphyries
E80.3,E803,connu de l'ATIH,type MCO 0,E803,Déficit en catalase et en peroxydase
E80.4,E804,connu de l'ATIH,type MCO 0,E804,Syndrome de Gilbert
E80.5,E805,connu de l'ATIH,type MCO 0,E805,Maladie de Crigler-Najjar
E80.6,E806,connu de l'ATIH,type MCO 0,E806,Autres anomalies du métabolisme de la bilirubine
E80.7,E807,connu de l'ATIH,type MCO 0,E807,"Anomalie du métabolisme de la bilirubine, sans précision"
E83.0,E830,connu de l'ATIH,type MCO 0,E830,Anomalies du métabolisme du cuivre
E83.1,E831,connu de l'ATIH,type MCO 0,E831,Anomalies du métabolisme du fer
E83.2,E832,connu de l'ATIH,type MCO 0,E832,Anomalies du métabolisme du zinc
E83.3,E833,connu de l'ATIH,type MCO 0,E833,Anomalies du métabolisme du phosphore et des phosphatases
E83.4,E834,connu de l'ATIH,type MCO 0,E834,Anomalies du métabolisme du magnésium
E83.50,E8350,connu de l'ATIH,type MCO 0,E8350,Hypercalcémie supérieure à 3 millimoles [mmol] par litre
E83.51,E8351,connu de l'ATIH,type MCO 0,E8351,"Hypocalcémie inférieure à 1,5 millimoles [mmol] par litre"
E83.58,E8358,connu de l'ATIH,type MCO 0,E8358,"Anomalies du métabolisme du calcium, autres et sans précision"
E83.8,E838,connu de l'ATIH,type MCO 0,E838,Autres anomalies du métabolisme des minéraux
E83.9,E839,connu de l'ATIH,type MCO 0,E839,"Anomalie du métabolisme des minéraux, sans précision"
E84.0,E840,connu de l'ATIH,type MCO 0,E840,Fibrose kystique du pancréas avec manifestations pulmonaires
E84.1,E841,connu de l'ATIH,type MCO 0,E841,Fibrose kystique du pancréas avec manifestations intestinales
E84.8,E848,connu de l'ATIH,type MCO 0,E848,Fibrose kystique du pancréas avec autres manifestations
E84.9,E849,connu de l'ATIH,type MCO 0,E849,"Fibrose kystique du pancréas, sans précision"
E85.0,E850,connu de l'ATIH,type MCO 0,E850,Amylose hérédofamiliale non neuropathique
E85.1,E851,connu de l'ATIH,type MCO 0,E851,Amylose hérédofamiliale neuropathique
E85.2,E852,connu de l'ATIH,type MCO 0,E852,"Amylose hérédofamiliale, sans précision"
E85.3,E853,connu de l'ATIH,type MCO 0,E853,Amylose généralisée secondaire
E85.4,E854,connu de l'ATIH,type MCO 0,E854,Amylose limitée à un ou plusieurs organes
E85.8,E858,connu de l'ATIH,type MCO 0,E858,Autres amyloses
E85.9,E859,connu de l'ATIH,type MCO 0,E859,"Amylose, sans précision"
E86,E86,connu de l'ATIH,type MCO 0,E86,Hypovolémie
E87.00,E8700,connu de l'ATIH,type MCO 0,E8700,Hypernatrémie supérieure à 150 millimoles [mmol] par litre
E87.08,E8708,connu de l'ATIH,type MCO 0,E8708,"Hyperosmolarités et hypernatrémies, autres et sans précision"
E87.10,E8710,connu de l'ATIH,type MCO 0,E8710,Hyponatrémie inférieure à 120 millimoles [mmol] par litre
E87.18,E8718,connu de l'ATIH,type MCO 0,E8718,"Hypoosmolarités et hyponatrémies, autres et sans précision"
E87.2,E872,connu de l'ATIH,type MCO 0,E872,Acidose
E87.3,E873,connu de l'ATIH,type MCO 0,E873,Alcalose
E87.4,E874,connu de l'ATIH,type MCO 0,E874,Anomalie mixte de l'équilibre acidobasique
E87.50,E8750,connu de l'ATIH,type MCO 0,E8750,"Hyperkaliémie supérieure à 6,5 millimoles [mmol] par litre"
E87.58,E8758,connu de l'ATIH,type MCO 0,E8758,"Hyperkaliémies, autres et sans précision"
E87.60,E8760,connu de l'ATIH,type MCO 0,E8760,"Hypokaliémie inférieure à 2,5 millimoles [mmol] par litre"
E87.68,E8768,connu de l'ATIH,type MCO 0,E8768,"Hypokaliémies, autres et sans précision"
E87.7,E877,connu de l'ATIH,type MCO 0,E877,Surcharge liquidienne
E87.8,E878,connu de l'ATIH,type MCO 0,E878,"Autres déséquilibres hydroélectrolytiques, non classés ailleurs"
E88.0,E880,connu de l'ATIH,type MCO 0,E880,"Anomalies du métabolisme des protéines plasmatiques, non classées ailleurs"
E88.1,E881,connu de l'ATIH,type MCO 0,E881,"Lipodystrophie, non classée ailleurs"
E88.2,E882,connu de l'ATIH,type MCO 0,E882,"Lipomatose, non classée ailleurs"
E88.3,E883,connu de l'ATIH,type MCO 0,E883,Syndrome de lyse tumorale
E88.8,E888,connu de l'ATIH,type MCO 0,E888,Autres anomalies métaboliques précisées
E88.9,E889,connu de l'ATIH,type MCO 1,E889,"Anomalie métabolique, sans précision"
E89.0,E890,connu de l'ATIH,type MCO 0,E890,Hypothyroïdie après un acte à visée diagnostique et thérapeutique
E89.1,E891,connu de l'ATIH,type MCO 0,E891,Hypo-insulinémie après un acte à visée diagnostique et thérapeutique
E89.2,E892,connu de l'ATIH,type MCO 0,E892,Hypoparathyroïdie après un acte à visée diagnostique et thérapeutique
E89.3,E893,connu de l'ATIH,type MCO 0,E893,Hypopituitarisme après un acte à visée diagnostique et thérapeutique
E89.4,E894,connu de l'ATIH,type MCO 0,E894,Insuffisance ovarienne après un acte à visée diagnostique et thérapeutique
E89.5,E895,connu de l'ATIH,type MCO 0,E895,Hypofonctionnement testiculaire après un acte à visée diagnostique et thérapeutique
E89.6,E896,connu de l'ATIH,type MCO 0,E896,Hypofonctionnement surrénal (de la corticale) (de la médullaire) après un acte à visée diagnostique et thérapeutique
E89.8,E898,connu de l'ATIH,type MCO 0,E898,Autres anomalies endocriniennes et métaboliques après un acte à visée diagnostique et thérapeutique
E89.9,E899,connu de l'ATIH,type MCO 1,E899,"Anomalie endocrinienne et métabolique après un acte à visée diagnostique et thérapeutique, sans précision"
E90,E90,connu de l'ATIH,type MCO 0,E90,Anomalies nutritionnelles et métaboliques au cours de maladies classées ailleurs
F00.000,F00000,connu de l'ATIH,type MCO 0,F00000,"Démence de la maladie d'Alzheimer, à début précoce (G30.0)   - ""sans symptôme supplémentaire"" - ""légère"""
F00.001,F00001,connu de l'ATIH,type MCO 0,F00001,"Démence de la maladie d'Alzheimer, à début précoce (G30.0)   - ""sans symptôme supplémentaire"" - ""moyenne"""
F00.002,F00002,connu de l'ATIH,type MCO 0,F00002,"Démence de la maladie d'Alzheimer, à début précoce (G30.0)   - ""sans symptôme supplémentaire"" - ""sévère"""
F00.010,F00010,connu de l'ATIH,type MCO 0,F00010,"Démence de la maladie d'Alzheimer, à début précoce (G30.0)   - ""avec d’autres symptômes, essentiellement délirants"" - ""légère"""
F00.011,F00011,connu de l'ATIH,type MCO 0,F00011,"Démence de la maladie d'Alzheimer, à début précoce (G30.0)   - ""avec d’autres symptômes, essentiellement délirants"" - ""moyenne"""
F00.012,F00012,connu de l'ATIH,type MCO 0,F00012,"Démence de la maladie d'Alzheimer, à début précoce (G30.0)   - ""avec d’autres symptômes, essentiellement délirants"" - ""sévère"""
F00.020,F00020,connu de l'ATIH,type MCO 0,F00020,"Démence de la maladie d'Alzheimer, à début précoce (G30.0)   - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""légère"""
F00.021,F00021,connu de l'ATIH,type MCO 0,F00021,"Démence de la maladie d'Alzheimer, à début précoce (G30.0)   - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""moyenne"""
F00.022,F00022,connu de l'ATIH,type MCO 0,F00022,"Démence de la maladie d'Alzheimer, à début précoce (G30.0)   - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""sévère"""
F00.030,F00030,connu de l'ATIH,type MCO 0,F00030,"Démence de la maladie d'Alzheimer, à début précoce (G30.0)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""légère"""
F00.031,F00031,connu de l'ATIH,type MCO 0,F00031,"Démence de la maladie d'Alzheimer, à début précoce (G30.0)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""moyenne"""
F00.032,F00032,connu de l'ATIH,type MCO 0,F00032,"Démence de la maladie d'Alzheimer, à début précoce (G30.0)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""sévère"""
F00.040,F00040,connu de l'ATIH,type MCO 0,F00040,"Démence de la maladie d'Alzheimer, à début précoce (G30.0)   - ""avec d’autres symptômes, mixtes"" - ""légère"""
F00.041,F00041,connu de l'ATIH,type MCO 0,F00041,"Démence de la maladie d'Alzheimer, à début précoce (G30.0)   - ""avec d’autres symptômes, mixtes"" - ""moyenne"""
F00.042,F00042,connu de l'ATIH,type MCO 0,F00042,"Démence de la maladie d'Alzheimer, à début précoce (G30.0)   - ""avec d’autres symptômes, mixtes"" - ""sévère"""
F00.100,F00100,connu de l'ATIH,type MCO 0,F00100,"Démence de la maladie d'Alzheimer, à début tardif (G30.1)   - ""sans symptôme supplémentaire"" - ""légère"""
F00.101,F00101,connu de l'ATIH,type MCO 0,F00101,"Démence de la maladie d'Alzheimer, à début tardif (G30.1)   - ""sans symptôme supplémentaire"" - ""moyenne"""
F00.102,F00102,connu de l'ATIH,type MCO 0,F00102,"Démence de la maladie d'Alzheimer, à début tardif (G30.1)   - ""sans symptôme supplémentaire"" - ""sévère"""
F00.110,F00110,connu de l'ATIH,type MCO 0,F00110,"Démence de la maladie d'Alzheimer, à début tardif (G30.1)   - ""avec d’autres symptômes, essentiellement délirants"" - ""légère"""
F00.111,F00111,connu de l'ATIH,type MCO 0,F00111,"Démence de la maladie d'Alzheimer, à début tardif (G30.1)   - ""avec d’autres symptômes, essentiellement délirants"" - ""moyenne"""
F00.112,F00112,connu de l'ATIH,type MCO 0,F00112,"Démence de la maladie d'Alzheimer, à début tardif (G30.1)   - ""avec d’autres symptômes, essentiellement délirants"" - ""sévère"""
F00.120,F00120,connu de l'ATIH,type MCO 0,F00120,"Démence de la maladie d'Alzheimer, à début tardif (G30.1)   - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""légère"""
F00.121,F00121,connu de l'ATIH,type MCO 0,F00121,"Démence de la maladie d'Alzheimer, à début tardif (G30.1)   - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""moyenne"""
F00.122,F00122,connu de l'ATIH,type MCO 0,F00122,"Démence de la maladie d'Alzheimer, à début tardif (G30.1)   - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""sévère"""
F00.130,F00130,connu de l'ATIH,type MCO 0,F00130,"Démence de la maladie d'Alzheimer, à début tardif (G30.1)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""légère"""
F00.131,F00131,connu de l'ATIH,type MCO 0,F00131,"Démence de la maladie d'Alzheimer, à début tardif (G30.1)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""moyenne"""
