code_atih,type_mco,libelle_long,classe,sous_classe,code_maitre,ancetre_maitre
A163,0,"Tuberculose des ganglions intrathoraciques, (sans mention de confirmation bactériologique ou histologique)",fiche (écriture directe),"",A16.3,""
A164,0,"Tuberculose du larynx, de la trachée et des bronches, (sans mention de confirmation bactériologique ou histologique)",fiche (écriture directe),"",A16.4,""
A165,0,"Pleurésie tuberculeuse, (sans mention de confirmation bactériologique ou histologique)",fiche (écriture directe),"",A16.5,""
A167,0,"Primo-infection tuberculeuse de l'appareil respiratoire, (sans mention de confirmation bactériologique ou histologique)",fiche (écriture directe),"",A16.7,""
A168,0,"Autres formes de tuberculose de l'appareil respiratoire, (sans mention de confirmation bactériologique ou histologique)",fiche (écriture directe),"",A16.8,""
A169,0,"Tuberculose de l'appareil respiratoire sans précision, (sans mention de confirmation bactériologique ou histologique)",fiche (écriture directe),"",A16.9,""
A170,0,Méningite tuberculeuse (G01*),fiche (écriture directe),"",A17.0,""
A171,0,Tuberculome méningé (G07*),fiche (écriture directe),"",A17.1,""
A178,0,Autres formes de tuberculose du système nerveux,fiche (écriture directe),"",A17.8,""
A179,0,"Tuberculose du système nerveux, sans précision (G99.8*)",fiche (écriture directe),"",A17.9,""
A180,0,Tuberculose des os et des articulations,fiche (écriture directe),"",A18.0,""
A181,0,Tuberculose de l'appareil génito-urinaire,fiche (écriture directe),"",A18.1,""
A182,0,Adénopathie tuberculeuse périphérique,fiche (écriture directe),"",A18.2,""
A183,0,"Tuberculose de l'intestin, du péritoine et des ganglions mésentériques",fiche (écriture directe),"",A18.3,""
A184,0,Tuberculose de la peau et du tissu cellulaire sous-cutané,fiche (écriture directe),"",A18.4,""
A185,0,Tuberculose de l'oeil,fiche (écriture directe),"",A18.5,""
A186,0,Tuberculose de l'oreille,fiche (écriture directe),"",A18.6,""
A187,0,Tuberculose des surrénales (E35.1*),fiche (écriture directe),"",A18.7,""
A188,0,Tuberculose d'autres organes précisés,fiche (écriture directe),"",A18.8,""
A190,0,"Tuberculose miliaire aiguë, localisation unique et précisée",fiche (écriture directe),"",A19.0,""
A191,0,"Tuberculose miliaire aiguë, sièges multiples",fiche (écriture directe),"",A19.1,""
A192,0,"Tuberculose miliaire aiguë, sans précision",fiche (écriture directe),"",A19.2,""
A198,0,Autres tuberculoses miliaires,fiche (écriture directe),"",A19.8,""
A199,0,"Tuberculose miliaire, sans précision",fiche (écriture directe),"",A19.9,""
A200,0,Peste bubonique,fiche (écriture directe),"",A20.0,""
A201,0,Peste cutanée,fiche (écriture directe),"",A20.1,""
A202,0,Peste pulmonaire,fiche (écriture directe),"",A20.2,""
A203,0,Peste méningée,fiche (écriture directe),"",A20.3,""
A207,0,Peste septique,fiche (écriture directe),"",A20.7,""
A208,0,Autres formes de peste,fiche (écriture directe),"",A20.8,""
A209,0,"Peste, sans précision",fiche (écriture directe),"",A20.9,""
A210,0,Tularémie ulcéro-glandulaire,fiche (écriture directe),"",A21.0,""
A211,0,Tularémie oculo-glandulaire,fiche (écriture directe),"",A21.1,""
A212,0,Tularémie pulmonaire,fiche (écriture directe),"",A21.2,""
A213,0,Tularémie gastro-intestinale,fiche (écriture directe),"",A21.3,""
A217,0,Tularémie généralisée,fiche (écriture directe),"",A21.7,""
A218,0,Autres formes de tularémie,fiche (écriture directe),"",A21.8,""
A219,0,"Tularémie, sans précision",fiche (écriture directe),"",A21.9,""
A220,0,Charbon cutané,fiche (écriture directe),"",A22.0,""
A221,0,Charbon pulmonaire,fiche (écriture directe),"",A22.1,""
A222,0,Charbon gastro-intestinal,fiche (écriture directe),"",A22.2,""
A227,0,Sepsis charbonneux,fiche (écriture directe),"",A22.7,""
A228,0,Autres formes de charbon,fiche (écriture directe),"",A22.8,""
