association_id,dagger_code,dagger_label,asterisk_code,asterisk_label,combination_labels,levels_present,redundancy_level,source_lids
594,G71.1,affections myotoniques,H28.2,cataracte au cours d'autres maladies classées ailleurs,cataracte myotonique,H,independent,15812
595,G93.4,"encéphalopathie, sans précision",F02.8,démence au cours d'autres maladies classées ailleurs,"",H,independent,32500
596,G95.0,syringomyélie et syringobulbie,M49.4,spondylopathie neurologique,spondylopathie neurologique au cours de syringomyélie et syringobulbie,H,independent,19259
597,I00,"rhumatisme articulaire aigu, sans mention d'atteinte cardiaque",J17.8,pneumopathie au cours d'autres maladies classées ailleurs,pneumopathie au cours de rhumatisme articulaire aigu,H,independent,16594
598,I00,"rhumatisme articulaire aigu, sans mention d'atteinte cardiaque",L54.0,érythème marginé discoïde de Besnier au cours d'un rhumatisme articulaire aigu,érythème marginé discoïde de Besnier au cours d'un rhumatisme articulaire aigu,G,independent,5131
599,I33.0,endocardite infectieuse aiguë et subaiguë,M03.6,arthropathie réactionnelle au cours d'autres maladies classées ailleurs,arthropathie au cours d'endocardite infectieuse,H,independent,17838
600,I33.0,endocardite infectieuse aiguë et subaiguë,N08.8,glomérulopathie au cours d'autres maladies classées ailleurs,glomérulopathie au cours d'endocardite bactérienne subaiguë,H,independent,21053
601,I60,hémorragie sous-arachnoïdienne,G46,syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,G,independent,3486
602,I60,hémorragie sous-arachnoïdienne,G46.3,syndromes vasculaires du tronc cérébral,syndromes vasculaires du tronc cérébral,G,independent,3490
603,I60,hémorragie sous-arachnoïdienne,G46.4,syndrome cérébelleux vasculaire,syndrome cérébelleux vasculaire,G,independent,3491
604,I60,hémorragie sous-arachnoïdienne,G46.5,syndrome lacunaire moteur pur,syndrome lacunaire moteur pur,G,independent,3492
605,I60,hémorragie sous-arachnoïdienne,G46.6,syndrome lacunaire sensitif pur,syndrome lacunaire sensitif pur,G,independent,3493
606,I60,hémorragie sous-arachnoïdienne,G46.7,autres syndromes lacunaires,autres syndromes lacunaires,G,independent,3494
607,I60,hémorragie sous-arachnoïdienne,G46.8,autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,G,independent,3495
