association_id,dagger_code,dagger_label,asterisk_code,asterisk_label,combination_labels,levels_present,redundancy_level,source_lids
0,(A00-B99),certaines maladies infectieuses et parasitaires,G53.1,paralysie de plusieurs nerfs crâniens au cours de maladies infectieuses et parasitaires classées ailleurs,paralysie de plusieurs nerfs crâniens au cours de maladies infectieuses et parasitaires classées ailleurs,G,independent,3528
1,(A00-B99),certaines maladies infectieuses et parasitaires,G94.0,hydrocéphalie au cours de maladies infectieuses et parasitaires classées ailleurs,hydrocéphalie au cours de maladies infectieuses et parasitaires classées ailleurs,G,independent,3691
2,(B15-B19),hépatite virale,M03.2,autres arthropathies post-infectieuses au cours de maladies classées ailleurs,arthropathie post-infectieuse au cours de hépatite virale,H,independent,17827
3,(B35-B49),mycoses,M01.6,arthrite au cours de mycoses,arthrite au cours de mycoses,G,independent,5356
4,(B35-B49),mycoses,M63.2,myosite au cours d'autres maladies infectieuses classées ailleurs,myosite au cours de mycoses,H,independent,19585
5,(C00-C75),tumeurs malignes,G13.0,neuromyopathie et neuropathie paranéoplasiques,neuromyopathie carcinomateuse,H,independent,15393
6,(C00-D48),tumeurs,D63.0,anémie au cours de maladies tumorales,anémie au cours de maladies tumorales,G,independent,1882
7,(C00-D48),tumeurs,G13.0,neuromyopathie et neuropathie paranéoplasiques,neuropathie sensitive paranéoplasique [Denny-Brown],H,independent,15394
8,(C00-D48),tumeurs,G13.1,autres affections dégénératives systémiques affectant principalement le système nerveux central au cours de maladies tumorales,encéphalopathie limbique paranéoplasique,H,independent,15395
9,(C00-D48),tumeurs,G53.3,paralysie de plusieurs nerfs crâniens au cours de maladies tumorales,paralysie de plusieurs nerfs crâniens au cours de maladies tumorales,G,independent,3530
10,(C00-D48),tumeurs,G55.0,compression des racines et des plexus nerveux au cours de maladies tumorales,compression des racines et des plexus nerveux au cours de maladies tumorales,G,independent,3544
11,(C00-D48),tumeurs,G63.1,polynévrite au cours de maladies tumorales,polynévrite au cours de maladies tumorales,G,independent,3596
12,(C00-D48),tumeurs,G73.2,autres syndromes myasthéniques au cours de maladies tumorales,autres syndromes myasthéniques au cours de maladies tumorales,G,independent,3629
13,(C00-D48),tumeurs,G94.1,hydrocéphalie au cours de maladies tumorales,hydrocéphalie au cours de maladies tumorales,G,independent,3692
14,(C00-D48),tumeurs,G99.2,myélopathies au cours de maladies classées ailleurs,myélopathie au cours de maladies tumorales,H,independent,15627
15,(C00-D48),tumeurs,M36.0,dermato(poly)myosite au cours de maladies tumorales,dermato(poly)myosite au cours de maladies tumorales,G,independent,5588
16,(C00-D48),tumeurs,M36.1,arthropathie au cours de maladies tumorales classées ailleurs,arthropathie au cours de maladies tumorales classées ailleurs,G,independent,5589
17,(C00-D48),tumeurs,M90.6,ostéite déformante au cours de maladies tumorales,ostéite déformante au cours de maladies tumorales,G,independent,5916
18,(C00-D48),tumeurs,M90.7,fracture osseuse au cours de maladies tumorales,fracture osseuse au cours de maladies tumorales,G,independent,5917
19,(D50-D53),anémies nutritionnelles,M36.3,arthropathie au cours d'autres maladies du sang classées ailleurs,arthropathie au cours d'autres maladies du sang classées ailleurs,G,independent,5591
20,(D50-D53),anémies nutritionnelles,M90.4,ostéonécrose due à une hémoglobinopathie,ostéonécrose due à une hémoglobinopathie,G,independent,5914
21,(D55-D59),anémies hémolytiques,M36.3,arthropathie au cours d'autres maladies du sang classées ailleurs,arthropathie au cours d'autres maladies du sang classées ailleurs,G,independent,5591
22,(D55-D59),anémies hémolytiques,M90.4,ostéonécrose due à une hémoglobinopathie,ostéonécrose due à une hémoglobinopathie,G,independent,5914
23,(D60-D64),aplasies médullaires et autres anémies,M36.3,arthropathie au cours d'autres maladies du sang classées ailleurs,arthropathie au cours d'autres maladies du sang classées ailleurs,G,independent,5591
24,(D60-D64),aplasies médullaires et autres anémies,M90.4,ostéonécrose due à une hémoglobinopathie,ostéonécrose due à une hémoglobinopathie,G,independent,5914
25,(D65-D69),"anomalies de la coagulation, purpura et autres affections hémorragiques",M36.3,arthropathie au cours d'autres maladies du sang classées ailleurs,arthropathie au cours d'autres maladies du sang classées ailleurs,G,independent,5591
26,(E00-E07),affections de la glande thyroïde,G63.3,polynévrite au cours d'autres maladies endocriniennes et métaboliques,polynévrite au cours d'autres maladies endocriniennes et métaboliques,G,independent,3598
27,(E00-E07),affections de la glande thyroïde,M82.1,ostéoporose au cours de maladies endocriniennes,ostéoporose au cours de maladies endocriniennes,G,independent,5848
28,(E10-E14),diabète sucré,M82.1,ostéoporose au cours de maladies endocriniennes,ostéoporose au cours de maladies endocriniennes,G,independent,5848
29,(E15-E16),autres anomalies de la régulation du glucose et de la sécrétion pancréatique interne,G63.3,polynévrite au cours d'autres maladies endocriniennes et métaboliques,polynévrite au cours d'autres maladies endocriniennes et métaboliques,G,independent,3598
30,(E15-E16),autres anomalies de la régulation du glucose et de la sécrétion pancréatique interne,M82.1,ostéoporose au cours de maladies endocriniennes,ostéoporose au cours de maladies endocriniennes,G,independent,5848
31,(E40-E46),malnutrition,G63.4,polynévrite par carence nutritionnelle,polynévrite par carence nutritionnelle,G,independent,3599
32,(E40-E46),malnutrition,H28.1,"cataracte au cours d'autres maladies endocriniennes, nutritionnelles et métaboliques",cataracte au cours de malnutrition-déshydratation,H,independent,15811
33,(E50-E64),autres carences nutritionnelles,G63.4,polynévrite par carence nutritionnelle,polynévrite par carence nutritionnelle,G,independent,3599
34,(M00-M25),arthropathies,G63.6,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,G,independent,3601
35,(M40-M54),dorsopathies,G63.6,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,G,independent,3601
36,(M60-M79),affections des tissus mous,G63.6,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,G,independent,3601
37,(M80-M94),ostéopathies et chondropathies,G63.6,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,G,independent,3601
38,(T36-T50),intoxications par des médicaments et des substances biologiques,F02.8,démence au cours d'autres maladies classées ailleurs,démence au cours de intoxications,H,independent,14405
39,(T51-T65),effets toxiques de substances d'origine essentiellement non médicinale,F02.8,démence au cours d'autres maladies classées ailleurs,démence au cours de intoxications,H,independent,14405
40,A01,fièvres typhoïde et paratyphoïde,M01.3,arthrite au cours d'autres maladies bactériennes classées ailleurs,arthrite (au cours de) fièvre typhoïde ou paratyphoïde,H,independent,17690
41,A01,fièvres typhoïde et paratyphoïde,M49.2,spondylite entérobactérienne,spondylite entérobactérienne,G,independent,5655
42,A01.0,fièvre typhoïde,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite (au cours de) fièvre typhoïde,H,independent,15305
43,A01.0,fièvre typhoïde,I39,endocardite et atteintes valvulaires cardiaques au cours de maladies classées ailleurs,atteinte de l'endocarde (à) (au cours de) typhoïdique,H,independent,27026
44,A01.0,fièvre typhoïde,J17.0,pneumopathie au cours de maladies bactériennes classées ailleurs,pneumopathie (au cours de) (due à) fièvre typhoïde,H,independent,16574
45,A02,autres salmonelloses,M49.2,spondylite entérobactérienne,spondylite entérobactérienne,G,independent,5655
46,A02.2,infection localisée à Salmonella,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite à Salmonella | méningite (au cours de) infection à Salmonella,"H,U",independent,"12326,15303"
47,A02.2,infection localisée à Salmonella,J17.0,pneumopathie au cours de maladies bactériennes classées ailleurs,pneumopathie à Salmonella | pneumopathie (au cours de) (due à) salmonellose,"H,U",independent,"12322,16576"
48,A02.2,infection localisée à Salmonella,M01.3,arthrite au cours d'autres maladies bactériennes classées ailleurs,arthrite à Salmonella | arthrite (au cours de) infection localisée à Salmonella,"H,U",independent,"12325,17689"
49,A02.2,infection localisée à Salmonella,M90.2,ostéopathie au cours d'autres maladies infectieuses classées ailleurs,ostéomyélite à Salmonella | ostéomyélite due à Salmonella,"H,U",independent,"12323,20748"
50,A02.2,infection localisée à Salmonella,N16.0,maladie rénale tubulo-interstitielle au cours de maladies infectieuses et parasitaires classées ailleurs,maladie rénale tubulo-interstitielle à Salmonella | maladie rénale tubulo-interstitielle au cours de salmonellose,"H,U",independent,"12324,21076"
51,A02.2,infection localisée à Salmonella,,,infection localisée à Salmonella,S,none,16
52,A03,shigellose,M49.2,spondylite entérobactérienne,spondylite entérobactérienne,G,independent,5655
53,A04,autres infections intestinales bactériennes,M49.2,spondylite entérobactérienne,spondylite entérobactérienne,G,independent,5655
54,A04.6,entérite à Yersinia enterocolitica,M03.2,autres arthropathies post-infectieuses au cours de maladies classées ailleurs,arthropathie post-infectieuse au cours de entérite due à Yersinia enterocolitica,H,independent,17826
55,A06.5,abcès amibien du poumon,J99.8,troubles respiratoires au cours d'autres maladies classées ailleurs,abcès amibien du poumon | troubles respiratoires au cours de abcès amibien du poumon,"H,T",independent,"51,16807"
56,A06.6,abcès amibien du cerveau,G07,abcès et granulome intracrâniens et intrarachidiens au cours d'affections classées ailleurs,abcès amibien du cerveau | abcès du cerveau amibien,"H,T",independent,"52,15360"
57,A06.8,autres localisations d'une infection amibienne,N51.2,balanite au cours de maladies classées ailleurs,balanite amibienne | balanite (à) amibienne,"H,U",independent,"12344,21235"
58,A17,tuberculose du système nerveux,,,tuberculose du système nerveux,S,none,93
59,A17.0,méningite tuberculeuse,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite tuberculeuse | méningite (au cours de) tuberculeuse,"H,T",subordinate,"94,15297"
60,A17.1,tuberculome méningé,G07,abcès et granulome intracrâniens et intrarachidiens au cours d'affections classées ailleurs,tuberculome méningé,"H,T",subordinate,"95,15365"
61,A17.8,autres formes de tuberculose du système nerveux,G05.0,"encéphalite, myélite et encéphalomyélite au cours d'infections bactériennes classées ailleurs","méningo-encéphalite tuberculeuse | myélite tuberculeuse | encéphalite, myélite ou encéphalomyélite tuberculeuse","H,U",subordinate,"12443,12444,15329"
62,A17.8,autres formes de tuberculose du système nerveux,G07,abcès et granulome intracrâniens et intrarachidiens au cours d'affections classées ailleurs,abcès tuberculeux du cerveau | tuberculome de moelle épinière | tuberculome de cerveau | tuberculose de moelle épinière | tuberculose de cerveau | abcès du cerveau tuberculeux | tuberculome cérébral,"H,U",subordinate,"12442,12446,12447,12448,12449,15362,15364"
63,A17.8,autres formes de tuberculose du système nerveux,G63.0,polynévrite au cours de maladies infectieuses et parasitaires classées ailleurs,polynévrite tuberculeuse | polynévrite (au cours de) tuberculeuse,"H,U",subordinate,"12445,15543"
64,A17.8,autres formes de tuberculose du système nerveux,,,autres formes de tuberculose du système nerveux,S,none,96
65,A17.9,"tuberculose du système nerveux, sans précision",G99.8,autres affections précisées du système nerveux au cours de maladies classées ailleurs,"tuberculose du système nerveux, sans précision",T,independent,97
66,A18.0,tuberculose des os et des articulations,H75.0,mastoïdite au cours de maladies infectieuses et parasitaires classées ailleurs,mastoïdite tuberculeuse | tuberculose mastoïdienne,"H,U",subordinate,"12452,16103"
67,A18.0,tuberculose des os et des articulations,M01.1,arthrite tuberculeuse,arthrite tuberculeuse | tuberculose de genou [tumeur blanche du genou] | tuberculose de hanche,"G,U",subordinate,"5351,12450,12451,12459"
68,A18.0,tuberculose des os et des articulations,M49.0,tuberculose vertébrale,tuberculose vertébrale | tuberculose de colonne vertébrale [mal de Pott],"G,U",subordinate,"5653,12458"
69,A18.0,tuberculose des os et des articulations,M68.0,synovite et ténosynovite au cours de maladies bactériennes classées ailleurs,synovite tuberculeuse | ténosynovite tuberculeuse | synovite ou ténosynovite tuberculeuse,"H,U",subordinate,"12456,12457,19748"
70,A18.0,tuberculose des os et des articulations,M90.0,tuberculose osseuse,tuberculose osseuse | ostéite tuberculeuse | ostéomyélite tuberculeuse | ostéonécrose tuberculeuse,"G,U",subordinate,"5910,12453,12454,12455"
71,A18.0,tuberculose des os et des articulations,,,tuberculose des os et des articulations,S,none,99
72,A18.1,tuberculose de l'appareil génito-urinaire,N29.1,autres affections du rein et de l'uretère au cours de maladies infectieuses et parasitaires classées ailleurs,tuberculose (de) uretère | tuberculose (de) rénale | affections du rein et de l'uretère au cours de tuberculose,"H,U",subordinate,"12460,12464,21136"
73,A18.1,tuberculose de l'appareil génito-urinaire,N33.0,cystite tuberculeuse,cystite tuberculeuse | tuberculose (de) vessie,"G,U",subordinate,"6549,12461"
74,A18.1,tuberculose de l'appareil génito-urinaire,N51,affections des organes génitaux de l'homme au cours de maladies classées ailleurs,tuberculose (de) organes génitaux de l'homme,U,subordinate,12462
75,A18.1,tuberculose de l'appareil génito-urinaire,N51.0,affections de la prostate au cours de maladies classées ailleurs,prostatite (à) tuberculeuse,H,subordinate,21226
76,A18.1,tuberculose de l'appareil génito-urinaire,N51.1,affections du testicule et de l'épididyme au cours de maladies classées ailleurs,tuberculose de épididyme | tuberculose de testicule,H,subordinate,"21228,21233"
77,A18.1,tuberculose de l'appareil génito-urinaire,N51.8,autres affections des organes génitaux de l'homme au cours de maladies classées ailleurs,tuberculose des vésicules séminales,H,subordinate,21238
78,A18.1,tuberculose de l'appareil génito-urinaire,N74.0,tuberculose du col de l'utérus,tuberculose du col de l'utérus | tuberculose (de) col de l'utérus,"G,U",subordinate,"6674,12463"
79,A18.1,tuberculose de l'appareil génito-urinaire,N74.1,affection inflammatoire pelvienne tuberculeuse de la femme,affection inflammatoire pelvienne tuberculeuse de la femme | affection inflammatoire tuberculeuse des organes pelviens de la femme,"G,U",independent,"6675,12465"
80,A18.1,tuberculose de l'appareil génito-urinaire,N77.0,ulcération de la vulve au cours de maladies infectieuses et parasitaires classées ailleurs,ulcération de la vulve au cours de tuberculose,H,subordinate,21277
81,A18.1,tuberculose de l'appareil génito-urinaire,,,tuberculose de l'appareil génito-urinaire,S,none,100
82,A18.3,"tuberculose de l'intestin, du péritoine et des ganglions mésentériques",K67.3,péritonite tuberculeuse,péritonite tuberculeuse,"G,U",subordinate,"2166,12467"
83,A18.3,"tuberculose de l'intestin, du péritoine et des ganglions mésentériques",K93.0,"atteintes tuberculeuses de l'intestin, du péritoine et des ganglions mésentériques","atteintes tuberculeuses de l'intestin, du péritoine et des ganglions mésentériques | tuberculose (de) anus et rectum | entérite tuberculeuse | tuberculose (de) intestin (côlon) (grêle)","G,U",subordinate,"2293,12469,12470,12472"
84,A18.4,tuberculose de la peau et du tissu cellulaire sous-cutané,H03.1,atteinte de la paupière au cours d'autres maladies infectieuses classées ailleurs,lupus vulgaire (de) paupière | atteinte de la paupière au cours de tuberculose,"H,U",subordinate,"12475,15653"
85,A18.5,tuberculose de l'oeil,H19.0,sclérite et épisclérite au cours de maladies classées ailleurs,épisclérite tuberculeuse,"H,U",subordinate,"12482,15754"
86,A18.5,tuberculose de l'oeil,H19.2,kératite et kératoconjonctivite au cours d'autres maladies infectieuses et parasitaires classées ailleurs,kératoconjonctivite (interstitielle) (phlycténulaire) tuberculeuse | kératite interstitielle tuberculeuse | kératite et kératoconjonctivite (insterstitielles) au cours de (dues à) tuberculose,"H,U",subordinate,"12479,12480,15758"
87,A18.5,tuberculose de l'oeil,H22.0,iridocyclite au cours de maladies infectieuses et parasitaires classées ailleurs,iridocyclite tuberculeuse | iridocyclite au cours de tuberculose,"H,U",subordinate,"12481,15793"
88,A18.5,tuberculose de l'oeil,H32.0,affections choriorétiniennes au cours de maladies infectieuses et parasitaires classées ailleurs,choriorétinite tuberculeuse | choriorétinite (à) tuberculeuse,"H,U",subordinate,"12478,15835"
89,A18.5,tuberculose de l'oeil,,,tuberculose de l'oeil,S,none,104
90,A18.6,tuberculose de l'oreille,H67.0,otite moyenne au cours de maladies bactériennes classées ailleurs,otite moyenne tuberculeuse | otite moyenne au cours de tuberculose,"H,U",subordinate,"12483,16082"
91,A18.6,tuberculose de l'oreille,,,tuberculose de l'oreille,S,none,105
92,A18.7,tuberculose des surrénales,E35.1,anomalies de la glande surrénale au cours de maladies classées ailleurs,tuberculose des surrénales | maladie d'Addison tuberculeuse,"H,T",subordinate,"106,14062"
93,A18.8,tuberculose d'autres organes précisés,E35.0,anomalies de la glande thyroïde au cours de maladies classées ailleurs,tuberculose de thyroïde | tuberculose de la thyroïde,"H,U",subordinate,"12485,14061"
94,A18.8,tuberculose d'autres organes précisés,I32.0,péricardite au cours de maladies bactériennes classées ailleurs,tuberculose de péricarde | péricardite tuberculeuse,"H,U",subordinate,"12490,16276"
95,A18.8,tuberculose d'autres organes précisés,I39,endocardite et atteintes valvulaires cardiaques au cours de maladies classées ailleurs,atteinte de l'endocarde (à) (au cours de) tuberculeuse,H,subordinate,27025
96,A18.8,tuberculose d'autres organes précisés,I39.8,"endocardite, valvule non précisée, au cours de maladies classées ailleurs",tuberculose de endocarde,U,subordinate,12488
97,A18.8,tuberculose d'autres organes précisés,I41.0,myocardite au cours de maladies bactériennes classées ailleurs,tuberculose de myocarde | myocardite tuberculeuse,"H,U",subordinate,"12486,16313"
98,A18.8,tuberculose d'autres organes précisés,I68.1,artérite cérébrale au cours de maladies infectieuses et parasitaires,artérite cérébrale tuberculeuse | artérite cérébrale au cours de tuberculose,"H,U",subordinate,"12489,16421"
99,A18.8,tuberculose d'autres organes précisés,K23.0,oesophagite tuberculeuse,oesophagite tuberculeuse | tuberculose de oesophage,"G,U",subordinate,"5009,12487"
100,A18.8,tuberculose d'autres organes précisés,,,tuberculose d'autres organes précisés,S,none,107
101,A21.2,tularémie pulmonaire,J17.0,pneumopathie au cours de maladies bactériennes classées ailleurs,pneumopathie (au cours de) (due à) tularémie,H,subordinate,16575
102,A22.1,charbon pulmonaire,J17.0,pneumopathie au cours de maladies bactériennes classées ailleurs,pneumopathie (au cours de) (due à) charbon,H,subordinate,16579
103,A22.8,autres formes de charbon,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite charbonneuse | méningite (au cours de) charbonneuse,"H,U",subordinate,"12501,15306"
104,A23,brucellose,M49.1,spondylite au cours de brucellose,spondylite au cours de brucellose,G,subordinate,5654
105,A23,brucellose,N16.0,maladie rénale tubulo-interstitielle au cours de maladies infectieuses et parasitaires classées ailleurs,maladie rénale tubulo-interstitielle au cours de brucellose,H,subordinate,21078
106,A27,leptospirose,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite (au cours de) leptospirose,H,subordinate,15301
107,A30,lèpre [maladie de Hansen],G63.0,polynévrite au cours de maladies infectieuses et parasitaires classées ailleurs,polynévrite (au cours de) lèpre,H,subordinate,15536
108,A30,lèpre [maladie de Hansen],H03.1,atteinte de la paupière au cours d'autres maladies infectieuses classées ailleurs,atteinte de la paupière au cours de lèpre,H,subordinate,15652
109,A30,lèpre [maladie de Hansen],M01.3,arthrite au cours d'autres maladies bactériennes classées ailleurs,arthrite (au cours de) lèpre [maladie de Hansen],H,subordinate,17691
110,A30,lèpre [maladie de Hansen],M63.0,myosite au cours de maladies bactériennes classées ailleurs,myosite au cours de lèpre [maladie de Hansen],H,subordinate,19580
111,A32.1,méningite et méningo-encéphalite listériennes,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite listérienne | méningite (au cours de) listérienne,"H,U",subordinate,"12529,15296"
112,A32.1,méningite et méningo-encéphalite listériennes,G05.0,"encéphalite, myélite et encéphalomyélite au cours d'infections bactériennes classées ailleurs","méningo-encéphalite listérienne | encéphalite, myélite ou encéphalomyélite listérienne","H,U",subordinate,"12530,15332"
113,A32.1,méningite et méningo-encéphalite listériennes,,,méningite et méningo-encéphalite listériennes,S,none,187
114,A32.8,autres formes de listériose,I39.8,"endocardite, valvule non précisée, au cours de maladies classées ailleurs",endocardite listérienne,U,subordinate,12532
115,A32.8,autres formes de listériose,I68.1,artérite cérébrale au cours de maladies infectieuses et parasitaires,artérite cérébrale listérienne | artérite cérébrale au cours de listériose,"H,U",subordinate,"12531,16419"
116,A36.8,autres formes de diphtérie,G63.0,polynévrite au cours de maladies infectieuses et parasitaires classées ailleurs,polynévrite diphtérique | polynévrite (au cours de) diphtérie,"H,U",subordinate,"12540,15535"
117,A36.8,autres formes de diphtérie,H13.1,conjonctivite au cours de maladies infectieuses et parasitaires classées ailleurs,conjonctivite diphtérique | conjonctivite (à) (de) diphtérique,"H,U",subordinate,"12538,15703"
118,A36.8,autres formes de diphtérie,I41.0,myocardite au cours de maladies bactériennes classées ailleurs,myocardite diphtérique,"H,U",subordinate,"12539,16309"
119,A36.8,autres formes de diphtérie,I43.0,myocardiopathie au cours de maladies infectieuses et parasitaires classées ailleurs,myocardiopathie diphtérique,H,subordinate,16328
120,A36.8,autres formes de diphtérie,N16.0,maladie rénale tubulo-interstitielle au cours de maladies infectieuses et parasitaires classées ailleurs,maladie rénale tubulo-interstitielle au cours de diphtérie,H,subordinate,21080
121,A37,coqueluche,J17.0,pneumopathie au cours de maladies bactériennes classées ailleurs,pneumopathie (au cours de) (due à) coqueluche,H,subordinate,16578
122,A38,scarlatine,H67.0,otite moyenne au cours de maladies bactériennes classées ailleurs,otite moyenne au cours de scarlatine,H,subordinate,16081
123,A39.0,méningite à méningocoques,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite à méningocoques | méningite (au cours de) méningococcique,"H,T",subordinate,"208,15307"
124,A39.1,syndrome de Waterhouse-Friderichsen,E35.1,anomalies de la glande surrénale au cours de maladies classées ailleurs,syndrome de Waterhouse-Friderichsen | syndrome de Waterhouse-Friderichsen (méningococcique),"H,T",subordinate,"209,14063"
125,A39.5,cardite à méningocoques,I32.0,péricardite au cours de maladies bactériennes classées ailleurs,péricardite méningococcique,"H,U",subordinate,"12547,16278"
126,A39.5,cardite à méningocoques,I39,endocardite et atteintes valvulaires cardiaques au cours de maladies classées ailleurs,atteinte de l'endocarde (à) (au cours de) méningococcique,H,subordinate,27030
127,A39.5,cardite à méningocoques,I39.8,"endocardite, valvule non précisée, au cours de maladies classées ailleurs",endocardite méningococcique,U,subordinate,12545
128,A39.5,cardite à méningocoques,I41.0,myocardite au cours de maladies bactériennes classées ailleurs,myocardite méningococcique,"H,U",subordinate,"12546,16311"
129,A39.5,cardite à méningocoques,I52.0,autres cardiopathies au cours de maladies bactériennes classées ailleurs,cardite méningococcique SAI | cardite à méningocoques NCA,"H,U",subordinate,"12544,16394"
130,A39.5,cardite à méningocoques,,,cardite à méningocoques,S,none,213
131,A39.8,autres infections à méningocoques,G05.0,"encéphalite, myélite et encéphalomyélite au cours d'infections bactériennes classées ailleurs","encéphalite méningococcique | encéphalite, myélite ou encéphalomyélite méningococcique","H,U",subordinate,"12549,15331"
132,A39.8,autres infections à méningocoques,H13.1,conjonctivite au cours de maladies infectieuses et parasitaires classées ailleurs,conjonctivite méningococcique | conjonctivite (à) (de) méningococcique,"H,U",subordinate,"12550,15707"
133,A39.8,autres infections à méningocoques,H48.1,névrite rétrobulbaire au cours de maladies classées ailleurs,névrite rétrobulbaire méningococcique | névrite rétrobulbaire au cours de infection à méningocoques,"H,U",subordinate,"12548,15944"
134,A39.8,autres infections à méningocoques,M01.0,arthrite méningococcique,arthrite méningococcique,"G,U",subordinate,"5350,12551"
135,A39.8,autres infections à méningocoques,M03.0,arthrite post-méningococcique,arthrite post-méningococcique,"G,U",subordinate,"5366,12552"
136,A40,septicémie à streptocoques,N08.0,glomérulopathie au cours de maladies infectieuses et parasitaires classées ailleurs,glomérulopathie au cours de septicémie,H,independent,21037
137,A40,septicémie à streptocoques,N16.0,maladie rénale tubulo-interstitielle au cours de maladies infectieuses et parasitaires classées ailleurs,maladie rénale tubulo-interstitielle au cours de septicémie,H,independent,21077
138,A41,autres septicémies,N08.0,glomérulopathie au cours de maladies infectieuses et parasitaires classées ailleurs,glomérulopathie au cours de septicémie,H,independent,21037
139,A41,autres septicémies,N16.0,maladie rénale tubulo-interstitielle au cours de maladies infectieuses et parasitaires classées ailleurs,maladie rénale tubulo-interstitielle au cours de septicémie,H,independent,21077
140,A42.0,actinomycose pulmonaire,J17.0,pneumopathie au cours de maladies bactériennes classées ailleurs,pneumopathie (au cours de) (due à) actinomycose,H,independent,16580
141,A43.0,nocardiose pulmonaire,J17.0,pneumopathie au cours de maladies bactériennes classées ailleurs,pneumopathie (au cours de) (due à) nocardiose,H,independent,16581
142,A46,érysipèle,H62.0,otite externe au cours de maladies bactériennes classées ailleurs,otite externe au cours d'érysipèle,H,independent,16041
143,A50.0,"syphilis congénitale précoce, symptomatique",H58.8,autres affections précisées de l'oeil et de ses annexes au cours de maladies classées ailleurs,oculopathie syphilitique NCA congénitale précoce,H,independent,16016
144,A50.3,oculopathie syphilitique congénitale tardive,H19.2,kératite et kératoconjonctivite au cours d'autres maladies infectieuses et parasitaires classées ailleurs,kératite interstitielle syphilitique congénitale tardive | kératite et kératoconjonctivite (insterstitielles) au cours de (dues à) syphilis,"H,U",subordinate,"12578,15757"
145,A50.3,oculopathie syphilitique congénitale tardive,H58.8,autres affections précisées de l'oeil et de ses annexes au cours de maladies classées ailleurs,oculopathie syphilitique congénitale tardive NCA | oculopathie syphilitique NCA congénitale tardive,"H,U",independent,"12577,16017"
146,A50.4,syphilis congénitale nerveuse tardive [neuro-syphilis juvénile],G01,méningite au cours d'affections bactériennes classées ailleurs,méningite syphilitique congénitale tardive | méningite (au cours de) syphilitique congénitale,"H,U",independent,"12581,15299"
147,A50.4,syphilis congénitale nerveuse tardive [neuro-syphilis juvénile],G05.0,"encéphalite, myélite et encéphalomyélite au cours d'infections bactériennes classées ailleurs","encéphalite syphilitique congénitale tardive | encéphalite, myélite ou encéphalomyélite syphilitique congénitale","H,U",independent,"12580,15330"
148,A50.4,syphilis congénitale nerveuse tardive [neuro-syphilis juvénile],G63.0,polynévrite au cours de maladies infectieuses et parasitaires classées ailleurs,"polynévrite syphilitique congénitale tardive | polynévrite (au cours de) syphilis, tardive congénitale","H,U",independent,"12583,15542"
149,A50.5,"autres formes tardives de syphilis congénitale, symptomatique",I98.0,syphilis cardio-vasculaire,syphilis cardio-vasculaire congénitale tardive,"H,U",independent,"12589,16511"
150,A50.5,"autres formes tardives de syphilis congénitale, symptomatique",M03.1,arthropathie syphilitique post-infectieuse,maladie de Clutton | arthropathie syphilitique congénitale tardive,"H,U",independent,"12586,12592,17815"
151,A50.5,"autres formes tardives de syphilis congénitale, symptomatique",M90.2,ostéopathie au cours d'autres maladies infectieuses classées ailleurs,ostéochondropathie syphilitique congénitale tardive | ostéopathie ou ostéochondropathie syphilitique,"H,U",independent,"12593,20747"
152,A51.3,syphilis secondaire de la peau et des muqueuses,L99.8,autres affections précisées de la peau et du tissu cellulaire sous-cutané au cours de maladies classées ailleurs,alopécie syphilitique | leucodermie syphilitique,"H,U",independent,"12597,12599,17606,17607"
153,A51.4,autres formes de syphilis secondaire,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite syphilitique secondaire | méningite (au cours de) syphilitique secondaire,"H,U",independent,"12601,15298"
154,A51.4,autres formes de syphilis secondaire,H22.0,iridocyclite au cours de maladies infectieuses et parasitaires classées ailleurs,iridocyclite syphilitique secondaire | iridocyclite au cours de syphilis (secondaire),"H,U",independent,"12605,15792"
155,A51.4,autres formes de syphilis secondaire,H58.8,autres affections précisées de l'oeil et de ses annexes au cours de maladies classées ailleurs,oculopathie NCA syphilitique secondaire | oculopathie syphilitique NCA précoce (secondaire),"H,U",independent,"12607,16018"
156,A51.4,autres formes de syphilis secondaire,M63.0,myosite au cours de maladies bactériennes classées ailleurs,myosite syphilitique secondaire | myosite au cours de syphilis,"H,U",independent,"12603,19579"
157,A51.4,autres formes de syphilis secondaire,M90.1,périostite au cours d'autres maladies infectieuses classées ailleurs,périostite syphilitique secondaire,"H,U",independent,"12602,20735"
