code,chapter,fichier,libelle,n_enfants,has_perimetre,has_exclusions,has_formulations,type_mco,statut_mco,nb_chars,format_version
A94,I,I/A94.md,"Fièvre virale transmise par des arthropodes, sans précision",0,true,true,true,0,codable,1610,1
A95,I,I/A95.md,Fièvre jaune,3,true,true,true,3,pere_interdit,1546,1
A96,I,I/A96.md,Fièvre hémorragique à arénavirus,5,true,true,true,3,pere_interdit,1650,1
A97,I,I/A97.md,Dengue,4,true,true,false,3,pere_interdit,1500,1
A98,I,I/A98.md,"Autres fièvres hémorragiques virales, non classées ailleurs",7,true,true,true,3,pere_interdit,2590,1
A99,I,I/A99.md,"Fièvre hémorragique virale, sans précision",0,true,true,true,0,codable,1454,1
B00,I,I/B00.md,Infections par le virus de l'herpès [Herpes simplex],9,true,true,true,3,pere_interdit,5484,1
B01,I,I/B01.md,Varicelle,5,true,true,true,3,pere_interdit,2533,1
B02,I,I/B02.md,Zona [herpes zoster],7,true,true,true,3,pere_interdit,3447,1
B03,I,I/B03.md,Variole,0,true,true,true,0,codable,1222,1
B04,I,I/B04.md,Monkeypox,0,true,true,true,0,codable,1189,1
B05,I,I/B05.md,Rougeole,7,true,true,true,3,pere_interdit,2860,1
B06,I,I/B06.md,Rubéole,3,true,true,true,3,pere_interdit,2133,1
B07,I,I/B07.md,Verrues d'origine virale,0,true,true,true,0,codable,1790,1
B08,I,I/B08.md,"Autres infections virales caractérisées par des lésions cutanéomuqueuses, non classées ailleurs",7,true,true,true,3,pere_interdit,3736,1
B09,I,I/B09.md,"Infection virale caractérisée par des lésions cutanéomuqueuses, sans précision",0,true,true,true,0,codable,1584,1
B15,I,I/B15.md,Hépatite aigüe A,2,true,true,true,3,pere_interdit,1784,1
B16,I,I/B16.md,Hépatite aigüe B,4,true,true,true,3,pere_interdit,2462,1
B17,I,I/B17.md,Autres hépatites virales aigües,5,true,true,true,3,pere_interdit,2592,1
B18,I,I/B18.md,Hépatite virale chronique,5,true,true,true,3,pere_interdit,2563,1
B19,I,I/B19.md,"Hépatite virale, sans précision",2,true,true,true,3,pere_interdit,1999,1
B20,I,I/B20.md,"Immunodéficience humaine virale [VIH], à l'origine de maladies infectieuses et parasitaires",10,true,true,true,3,pere_interdit,3137,1
B21,I,I/B21.md,"Immunodéficience humaine virale [VIH], à l'origine de tumeurs malignes",7,true,true,true,3,pere_interdit,2414,1
B22,I,I/B22.md,"Immunodéficience humaine virale [VIH], à l'origine d'autres affections précisées",4,true,true,true,3,pere_interdit,2610,1
B23,I,I/B23.md,"Immunodéficience humaine virale [VIH], à l'origine d'autres maladies",4,true,true,true,3,pere_interdit,2071,1
B24,I,I/B24.md,"Immunodéficience humaine virale [VIH], sans précision",0,true,true,false,3,pere_interdit,1517,1
B25,I,I/B25.md,Maladie à cytomégalovirus,5,true,true,true,3,pere_interdit,2864,1
B26,I,I/B26.md,Oreillons,6,true,true,true,3,pere_interdit,2554,1
B27,I,I/B27.md,Mononucléose infectieuse,4,true,true,true,3,pere_interdit,1852,1
B30,I,I/B30.md,Conjonctivite virale,6,true,true,true,3,pere_interdit,2765,1
