code,chapter,filepath,libelle,n_enfants,has_perimetre,has_exclusions,has_formulations,type_mco,statut_mco,nb_chars
B83,I,I/B83.md,Autres helminthiases,7,true,true,true,3,pere_interdit,3048
B85,I,I/B85.md,Pédiculose et phtiriase,5,true,true,true,3,pere_interdit,2410
B86,I,I/B86.md,Gale,0,true,true,true,0,codable,1640
B87,I,I/B87.md,Myiase,7,true,true,true,3,pere_interdit,2149
B88,I,I/B88.md,Autres infestations,6,true,true,true,3,pere_interdit,2958
B89,I,I/B89.md,"Parasitose, sans précision",0,true,true,true,1,interdit_dp_dr,1468
B90,I,I/B90.md,Séquelles de tuberculose,5,true,true,true,3,pere_interdit,2322
B91,I,I/B91.md,Séquelles de poliomyélite,0,true,true,true,4,interdit_dp,1932
B92,I,I/B92.md,Séquelles de lèpre,0,true,true,true,4,interdit_dp,1281
B94,I,I/B94.md,"Séquelles de maladies infectieuses et parasitaires, autres et non précisées",5,true,true,true,3,pere_interdit,2347
B95,I,I/B95.md,"Streptocoques et staphylocoques, cause de maladies classées dans d'autres chapitres",9,true,true,true,3,pere_interdit,3600
B96,I,I/B96.md,"Autres agents bactériens précisés, cause de maladies classées dans d'autres chapitres",9,true,true,true,3,pere_interdit,2893
B97,I,I/B97.md,"Virus, cause de maladies classées dans d'autres chapitres",9,true,true,true,3,pere_interdit,2834
B98,I,I/B98.md,"Autres agents infectieux précisés, cause de maladies classées dans d'autres chapitres",2,true,true,true,3,pere_interdit,1486
B99,I,I/B99.md,"Maladies infectieuses, autres et non précisées",0,true,true,false,3,pere_interdit,1131
C00,II,II/C00.md,Tumeur maligne de la lèvre,9,true,true,true,3,pere_interdit,3427
C01,II,II/C01.md,Tumeur maligne de la base de la langue,0,true,false,true,0,codable,1557
C02,II,II/C02.md,"Tumeur maligne de la langue, parties autres et non précisées",7,true,true,true,3,pere_interdit,2460
C03,II,II/C03.md,Tumeur maligne de la gencive,3,true,true,true,3,pere_interdit,1745
C04,II,II/C04.md,Tumeur maligne du plancher de la bouche,4,true,false,true,3,pere_interdit,1783
C05,II,II/C05.md,Tumeur maligne du palais,5,true,true,true,3,pere_interdit,1718
C06,II,II/C06.md,"Tumeur maligne de la bouche, parties autres et non précisées",5,true,false,true,3,pere_interdit,2205
C07,II,II/C07.md,Tumeur maligne de la glande parotide,0,false,false,true,0,codable,1229
C08,II,II/C08.md,"Tumeur maligne des glandes salivaires principales, autres et non précisées",4,true,true,true,3,pere_interdit,2420
C09,II,II/C09.md,Tumeur maligne de l'amygdale,4,true,true,true,3,pere_interdit,1898
C10,II,II/C10.md,Tumeur maligne de l'oropharynx,7,true,true,true,3,pere_interdit,2297
C11,II,II/C11.md,Tumeur maligne du rhinopharynx,6,true,false,true,3,pere_interdit,2362
C12,II,II/C12.md,Tumeur maligne du sinus piriforme,0,true,false,true,0,codable,1294
C13,II,II/C13.md,Tumeur maligne de l'hypopharynx,5,true,true,true,3,pere_interdit,2072
C14,II,II/C14.md,"Tumeur maligne de la lèvre, de la cavité buccale et du pharynx, de sièges autres et mal définis",3,true,true,true,3,pere_interdit,1949
C15,II,II/C15.md,Tumeur maligne de l'oesophage,8,false,false,true,3,pere_interdit,1750
C16,II,II/C16.md,Tumeur maligne de l'estomac,9,true,false,true,3,pere_interdit,2487
C17,II,II/C17.md,Tumeur maligne de l'intestin grêle,6,false,true,true,3,pere_interdit,1535
C18,II,II/C18.md,Tumeur maligne du côlon,10,true,true,true,3,pere_interdit,2039
C19,II,II/C19.md,Tumeur maligne de la jonction rectosigmoïdienne,0,true,false,true,0,codable,1401
C20,II,II/C20.md,Tumeur maligne du rectum,0,true,false,true,0,codable,1271
C21,II,II/C21.md,Tumeur maligne de l'anus et du canal anal,4,true,true,true,3,pere_interdit,2149
C22,II,II/C22.md,Tumeur maligne du foie et des voies biliaires intrahépatiques,7,true,true,true,3,pere_interdit,2410
C23,II,II/C23.md,Tumeur maligne de la vésicule biliaire,0,false,false,true,0,codable,1258
C24,II,II/C24.md,"Tumeurs malignes des voies biliaires, autres et non précisées",4,true,true,true,3,pere_interdit,2138
C25,II,II/C25.md,Tumeur maligne du pancréas,8,true,false,true,3,pere_interdit,1819
C26,II,II/C26.md,"Tumeur maligne des organes digestifs, de sièges autres et mal définis",4,true,true,true,3,pere_interdit,2339
C30,II,II/C30.md,Tumeur maligne des fosses nasales et de l'oreille moyenne,2,true,true,true,3,pere_interdit,2468
C31,II,II/C31.md,Tumeur maligne des sinus de la face,6,true,true,true,3,pere_interdit,1937
C32,II,II/C32.md,Tumeur maligne du larynx,6,true,true,true,3,pere_interdit,2589
C33,II,II/C33.md,Tumeur maligne de la trachée,0,true,true,true,0,codable,1379
C34,II,II/C34.md,Tumeur maligne des bronches et du poumon,6,true,true,true,3,pere_interdit,2129
C37,II,II/C37.md,Tumeur maligne du thymus,0,true,true,true,0,codable,1422
C38,II,II/C38.md,"Tumeur maligne du coeur, du médiastin et de la plèvre",6,true,true,true,3,pere_interdit,1920
C39,II,II/C39.md,"Tumeur maligne de l'appareil respiratoire et des organes intrathoraciques, de sièges autres et mal définis",3,true,true,true,3,pere_interdit,2339
C40,II,II/C40.md,Tumeur maligne des os et du cartilage articulaire des membres,6,false,true,true,3,pere_interdit,1808
C41,II,II/C41.md,"Tumeur maligne des os et du cartilage articulaire, de sièges autres et non précisés",7,true,true,true,3,pere_interdit,2871
C43,II,II/C43.md,Mélanome malin de la peau,10,true,true,true,3,pere_interdit,2478
C44,II,II/C44.md,Autres tumeurs malignes de la peau,10,true,true,true,3,pere_interdit,3599
C45,II,II/C45.md,Mésothéliome,5,true,true,true,3,pere_interdit,2044
C46,II,II/C46.md,Sarcome de Kaposi,7,true,false,true,3,pere_interdit,1627
C47,II,II/C47.md,Tumeur maligne des nerfs périphériques et du système nerveux autonome,9,true,true,true,3,pere_interdit,2299
C48,II,II/C48.md,Tumeur maligne du rétropéritoine et du péritoine,4,true,true,true,3,pere_interdit,1906
C49,II,II/C49.md,Tumeur maligne du tissu conjonctif et des autres tissus mous,9,true,true,true,3,pere_interdit,3977
C50,II,II/C50.md,Tumeur maligne du sein,9,true,true,true,3,pere_interdit,2224
C51,II,II/C51.md,Tumeur maligne de la vulve,5,true,false,true,3,pere_interdit,1678
C52,II,II/C52.md,Tumeur maligne du vagin,0,true,false,true,0,codable,1258
C53,II,II/C53.md,Tumeur maligne du col de l'utérus,4,true,false,true,3,pere_interdit,1524
C54,II,II/C54.md,Tumeur maligne du corps de l'utérus,6,true,false,true,3,pere_interdit,1764
C55,II,II/C55.md,"Tumeur maligne de l'utérus, partie non précisée",0,true,false,true,0,codable,1249
C56,II,II/C56.md,Tumeur maligne de l'ovaire,0,true,false,true,0,codable,1322
C57,II,II/C57.md,"Tumeur maligne des organes génitaux de la femme, autres et non précisés",8,true,false,true,3,pere_interdit,2278
C58,II,II/C58.md,Tumeur maligne du placenta,0,true,true,true,0,codable,1003
C60,II,II/C60.md,Tumeur maligne de la verge,5,true,false,true,3,pere_interdit,1576
C61,II,II/C61.md,Tumeur maligne de la prostate,0,true,false,true,0,codable,1390
C62,II,II/C62.md,Tumeur maligne du testicule,3,true,false,true,3,pere_interdit,1819
C63,II,II/C63.md,"Tumeur maligne des organes génitaux de l'homme, autres et non précisés",6,true,false,true,3,pere_interdit,2023
C64,II,II/C64.md,"Tumeur maligne du rein, à l'exception du bassinet",0,false,true,true,0,codable,1559
C65,II,II/C65.md,Tumeur maligne du bassinet,0,true,false,true,0,codable,1359
C66,II,II/C66.md,Tumeur maligne de l'uretère,0,false,true,true,0,codable,1285
C67,II,II/C67.md,Tumeur maligne de la vessie,10,true,false,true,3,pere_interdit,1965
C68,II,II/C68.md,"Tumeur maligne des organes urinaires, autres et non précisés",4,true,true,true,3,pere_interdit,2012
C69,II,II/C69.md,Tumeur maligne de l'oeil et de ses annexes,9,true,true,true,3,pere_interdit,2855
C70,II,II/C70.md,Tumeur maligne des méninges,3,false,false,true,3,pere_interdit,1427
C71,II,II/C71.md,Tumeur maligne de l'encéphale,10,true,true,true,3,pere_interdit,2450
C72,II,II/C72.md,"Tumeur maligne de la moelle épinière, des nerfs crâniens et d'autres parties du système nerveux central",8,true,true,true,3,pere_interdit,2459
C73,II,II/C73.md,Tumeur maligne de la thyroïde,0,false,false,true,0,codable,1314
C74,II,II/C74.md,Tumeur maligne de la surrénale,3,false,false,true,3,pere_interdit,1575
C75,II,II/C75.md,Tumeur maligne d'autres glandes endocrines et structures apparentées,8,false,true,true,3,pere_interdit,2148
C76,II,II/C76.md,Tumeur maligne de sièges autres et mal définis,8,true,true,true,3,pere_interdit,2515
C77,II,II/C77.md,"Tumeur maligne des ganglions lymphatiques, secondaire et non précisée",8,true,true,true,3,pere_interdit,2633
C78,II,II/C78.md,Tumeur maligne secondaire des organes respiratoires et digestifs,9,true,false,true,3,pere_interdit,2554
C79,II,II/C79.md,Tumeur maligne secondaire de sièges autres et non précisés,10,true,false,true,3,pere_interdit,3241
C80,II,II/C80.md,Tumeur maligne de siège non précisé,2,true,true,true,3,pere_interdit,1615
C81,II,II/C81.md,Lymphome de Hodgkin,7,true,true,true,3,pere_interdit,2685
C82,II,II/C82.md,Lymphome folliculaire,9,true,true,true,3,pere_interdit,2601
C83,II,II/C83.md,Lymphome non folliculaire,7,true,true,true,3,pere_interdit,3606
C84,II,II/C84.md,Lymphomes à cellules T/NK matures,8,true,true,true,3,pere_interdit,3171
C85,II,II/C85.md,"Lymphome non hodgkinien, de types autres et non précisés",4,true,true,true,3,pere_interdit,2420
C86,II,II/C86.md,Autres types précisés de lymphomes à cellules T/NK,7,true,true,true,3,pere_interdit,2416
C88,II,II/C88.md,Maladies immunoprolifératives malignes,6,true,true,true,3,pere_interdit,2836
C90,II,II/C90.md,Myélome multiple et tumeurs malignes à plasmocytes,4,true,true,true,3,pere_interdit,2324
C91,II,II/C91.md,Leucémie lymphoïde,9,true,true,true,3,pere_interdit,2882
C92,II,II/C92.md,Leucémie myéloïde,10,true,true,true,3,pere_interdit,3655
C93,II,II/C93.md,Leucémie monocytaire,5,true,true,true,3,pere_interdit,2227
C94,II,II/C94.md,Autres leucémies à cellules précisées,6,true,true,true,3,pere_interdit,2674
C95,II,II/C95.md,Leucémie à cellules non précisées,4,true,true,true,3,pere_interdit,2284
C96,II,II/C96.md,"Tumeurs malignes des tissus lymphoïde, hématopoïétique et apparentés, autres et non précisées",8,true,true,true,3,pere_interdit,3450
C97,II,II/C97.md,Tumeurs malignes de sièges multiples indépendants (primitifs),0,false,false,false,1,interdit_dp_dr,291
D00,II,II/D00.md,"Carcinome in situ de la cavité buccale, de l'œsophage et de l'estomac",3,true,true,true,3,pere_interdit,2174
D01,II,II/D01.md,"Carcinome in situ des organes digestifs, autres et non précisés",8,true,true,true,3,pere_interdit,2157
D02,II,II/D02.md,Carcinome in situ de l'oreille moyenne et de l'appareil respiratoire,5,true,true,true,3,pere_interdit,2015
D03,II,II/D03.md,Mélanome in situ,10,true,false,true,3,pere_interdit,1950
D04,II,II/D04.md,Carcinome in situ de la peau,10,true,true,true,3,pere_interdit,2390
D05,II,II/D05.md,Carcinome in situ du sein,4,true,true,true,3,pere_interdit,1271
D06,II,II/D06.md,Carcinome in situ du col de l'utérus,4,true,true,true,3,pere_interdit,1398
