dimension,value,count
curation,subordinate_applied,163
curation,independent_in_csv,557
curation,undecided,0
coherence,csv_pairs_absent_from_table,0
coherence,table_pairs_absent_from_csv,0
flat_csv,dagger_lines_marked_redundant,2155
flat_csv,synonyms_filtered_as_duplicates,54
flat_csv,dagger_lines_marked_redundant,9054
flat_csv,synonyms_filtered_as_duplicates,54
flat_csv,dagger_lines_marked_redundant,9054
flat_csv,synonyms_filtered_as_duplicates,54
flat_csv,synonyms_filtered_as_duplicates,54
