code,abbrev,label,type
W38.4,W384,explosion et éclatement d'autres appareils précisés sous pression | rue ou route,category
W38.5,W385,explosion et éclatement d'autres appareils précisés sous pression | zone de commerce et de service,category
W38.6,W386,explosion et éclatement d'autres appareils précisés sous pression | local industriel et chantier de construction,category
W38.7,W387,explosion et éclatement d'autres appareils précisés sous pression | exploitation agricole,category
W38.8,W388,explosion et éclatement d'autres appareils précisés sous pression | autres lieux précisés,category
W38.9,W389,"explosion et éclatement d'autres appareils précisés sous pression | lieu, sans précision",category
W39.0,W390,projections de feu d'artifice | domicile,category
W39.1,W391,projections de feu d'artifice | établissement collectif,category
W39.2,W392,"projections de feu d'artifice | école, autre institution et lieu d'administration publique",category
W39.3,W393,projections de feu d'artifice | lieu de sport et d'athlétisme,category
W39.4,W394,projections de feu d'artifice | rue ou route,category
W39.5,W395,projections de feu d'artifice | zone de commerce et de service,category
W39.6,W396,projections de feu d'artifice | local industriel et chantier de construction,category
W39.7,W397,projections de feu d'artifice | exploitation agricole,category
W39.8,W398,projections de feu d'artifice | autres lieux précisés,category
W39.9,W399,"projections de feu d'artifice | lieu, sans précision",category
W40.0,W400,explosion d'autres matériaux | domicile,category
W40.1,W401,explosion d'autres matériaux | établissement collectif,category
W40.2,W402,"explosion d'autres matériaux | école, autre institution et lieu d'administration publique",category
W40.3,W403,explosion d'autres matériaux | lieu de sport et d'athlétisme,category
W40.4,W404,explosion d'autres matériaux | rue ou route,category
W40.5,W405,explosion d'autres matériaux | zone de commerce et de service,category
W40.6,W406,explosion d'autres matériaux | local industriel et chantier de construction,category
W40.7,W407,explosion d'autres matériaux | exploitation agricole,category
W40.8,W408,explosion d'autres matériaux | autres lieux précisés,category
W40.9,W409,"explosion d'autres matériaux | lieu, sans précision",category
W41.0,W410,exposition à un jet à haute pression | domicile,category
W41.1,W411,exposition à un jet à haute pression | établissement collectif,category
W41.2,W412,"exposition à un jet à haute pression | école, autre institution et lieu d'administration publique",category
W41.3,W413,exposition à un jet à haute pression | lieu de sport et d'athlétisme,category
W41.4,W414,exposition à un jet à haute pression | rue ou route,category
W41.5,W415,exposition à un jet à haute pression | zone de commerce et de service,category
W41.6,W416,exposition à un jet à haute pression | local industriel et chantier de construction,category
W41.7,W417,exposition à un jet à haute pression | exploitation agricole,category
W41.8,W418,exposition à un jet à haute pression | autres lieux précisés,category
W41.9,W419,"exposition à un jet à haute pression | lieu, sans précision",category
W42.0,W420,exposition au bruit | domicile,category
W42.1,W421,exposition au bruit | établissement collectif,category
W42.2,W422,"exposition au bruit | école, autre institution et lieu d'administration publique",category
W42.3,W423,exposition au bruit | lieu de sport et d'athlétisme,category
W42.4,W424,exposition au bruit | rue ou route,category
W42.5,W425,exposition au bruit | zone de commerce et de service,category
W42.6,W426,exposition au bruit | local industriel et chantier de construction,category
W42.7,W427,exposition au bruit | exploitation agricole,category
W42.8,W428,exposition au bruit | autres lieux précisés,category
W42.9,W429,"exposition au bruit | lieu, sans précision",category
W43.0,W430,exposition aux vibrations | domicile,category
W43.1,W431,exposition aux vibrations | établissement collectif,category
W43.2,W432,"exposition aux vibrations | école, autre institution et lieu d'administration publique",category
W43.3,W433,exposition aux vibrations | lieu de sport et d'athlétisme,category
W43.4,W434,exposition aux vibrations | rue ou route,category
W43.5,W435,exposition aux vibrations | zone de commerce et de service,category
W43.6,W436,exposition aux vibrations | local industriel et chantier de construction,category
W43.7,W437,exposition aux vibrations | exploitation agricole,category
W43.8,W438,exposition aux vibrations | autres lieux précisés,category
W43.9,W439,"exposition aux vibrations | lieu, sans précision",category
W44.0,W440,corps étranger pénétrant dans l'oeil ou un orifice naturel | domicile,category
W44.1,W441,corps étranger pénétrant dans l'oeil ou un orifice naturel | établissement collectif,category
W44.2,W442,"corps étranger pénétrant dans l'oeil ou un orifice naturel | école, autre institution et lieu d'administration publique",category
W44.3,W443,corps étranger pénétrant dans l'oeil ou un orifice naturel | lieu de sport et d'athlétisme,category
W44.4,W444,corps étranger pénétrant dans l'oeil ou un orifice naturel | rue ou route,category
W44.5,W445,corps étranger pénétrant dans l'oeil ou un orifice naturel | zone de commerce et de service,category
W44.6,W446,corps étranger pénétrant dans l'oeil ou un orifice naturel | local industriel et chantier de construction,category
W44.7,W447,corps étranger pénétrant dans l'oeil ou un orifice naturel | exploitation agricole,category
W44.8,W448,corps étranger pénétrant dans l'oeil ou un orifice naturel | autres lieux précisés,category
W44.9,W449,"corps étranger pénétrant dans l'oeil ou un orifice naturel | lieu, sans précision",category
W45.0,W450,corps étranger ou objet pénétrant dans la peau | domicile,category
W45.1,W451,corps étranger ou objet pénétrant dans la peau | établissement collectif,category
W45.2,W452,"corps étranger ou objet pénétrant dans la peau | école, autre institution et lieu d'administration publique",category
W45.3,W453,corps étranger ou objet pénétrant dans la peau | lieu de sport et d'athlétisme,category
W45.4,W454,corps étranger ou objet pénétrant dans la peau | rue ou route,category
W45.5,W455,corps étranger ou objet pénétrant dans la peau | zone de commerce et de service,category
W45.6,W456,corps étranger ou objet pénétrant dans la peau | local industriel et chantier de construction,category
W45.7,W457,corps étranger ou objet pénétrant dans la peau | exploitation agricole,category
W45.8,W458,corps étranger ou objet pénétrant dans la peau | autres lieux précisés,category
W45.9,W459,"corps étranger ou objet pénétrant dans la peau | lieu, sans précision",category
W49.0,W490,"exposition à des forces mécaniques, autres et sans précision | domicile",category
W49.1,W491,"exposition à des forces mécaniques, autres et sans précision | établissement collectif",category
W49.2,W492,"exposition à des forces mécaniques, autres et sans précision | école, autre institution et lieu d'administration publique",category
W49.3,W493,"exposition à des forces mécaniques, autres et sans précision | lieu de sport et d'athlétisme",category
W49.4,W494,"exposition à des forces mécaniques, autres et sans précision | rue ou route",category
W49.5,W495,"exposition à des forces mécaniques, autres et sans précision | zone de commerce et de service",category
W49.6,W496,"exposition à des forces mécaniques, autres et sans précision | local industriel et chantier de construction",category
W49.7,W497,"exposition à des forces mécaniques, autres et sans précision | exploitation agricole",category
W49.8,W498,"exposition à des forces mécaniques, autres et sans précision | autres lieux précisés",category
W49.9,W499,"exposition à des forces mécaniques, autres et sans précision | lieu, sans précision",category
W50.0,W500,"Coup, torsion, morsure ou écorchure infligés par un tiers | domicile",category
W50.1,W501,"Coup, torsion, morsure ou écorchure infligés par un tiers | établissement collectif",category
W50.2,W502,"Coup, torsion, morsure ou écorchure infligés par un tiers | école, autre institution et lieu d'administration publique",category
W50.3,W503,"Coup, torsion, morsure ou écorchure infligés par un tiers | lieu de sport et d'athlétisme",category
W50.4,W504,"Coup, torsion, morsure ou écorchure infligés par un tiers | rue ou route",category
W50.5,W505,"Coup, torsion, morsure ou écorchure infligés par un tiers | zone de commerce et de service",category
W50.6,W506,"Coup, torsion, morsure ou écorchure infligés par un tiers | local industriel et chantier de construction",category
W50.7,W507,"Coup, torsion, morsure ou écorchure infligés par un tiers | exploitation agricole",category
W50.8,W508,"Coup, torsion, morsure ou écorchure infligés par un tiers | autres lieux précisés",category
W50.9,W509,"Coup, torsion, morsure ou écorchure infligés par un tiers | lieu, sans précision",category
W51.0,W510,collision entre deux personnes | domicile,category
W51.1,W511,collision entre deux personnes | établissement collectif,category
W51.2,W512,"collision entre deux personnes | école, autre institution et lieu d'administration publique",category
W51.3,W513,collision entre deux personnes | lieu de sport et d'athlétisme,category
W51.4,W514,collision entre deux personnes | rue ou route,category
W51.5,W515,collision entre deux personnes | zone de commerce et de service,category
W51.6,W516,collision entre deux personnes | local industriel et chantier de construction,category
W51.7,W517,collision entre deux personnes | exploitation agricole,category
W51.8,W518,collision entre deux personnes | autres lieux précisés,category
W51.9,W519,"collision entre deux personnes | lieu, sans précision",category
W52.0,W520,"écrasement, poussée ou piétinement par une foule humaine | domicile",category
W52.1,W521,"écrasement, poussée ou piétinement par une foule humaine | établissement collectif",category
W52.2,W522,"écrasement, poussée ou piétinement par une foule humaine | école, autre institution et lieu d'administration publique",category
W52.3,W523,"écrasement, poussée ou piétinement par une foule humaine | lieu de sport et d'athlétisme",category
W52.4,W524,"écrasement, poussée ou piétinement par une foule humaine | rue ou route",category
W52.5,W525,"écrasement, poussée ou piétinement par une foule humaine | zone de commerce et de service",category
W52.6,W526,"écrasement, poussée ou piétinement par une foule humaine | local industriel et chantier de construction",category
W52.7,W527,"écrasement, poussée ou piétinement par une foule humaine | exploitation agricole",category
W52.8,W528,"écrasement, poussée ou piétinement par une foule humaine | autres lieux précisés",category
W52.9,W529,"écrasement, poussée ou piétinement par une foule humaine | lieu, sans précision",category
W53.0,W530,morsure de rat | domicile,category
W53.1,W531,morsure de rat | établissement collectif,category
W53.2,W532,"morsure de rat | école, autre institution et lieu d'administration publique",category
W53.3,W533,morsure de rat | lieu de sport et d'athlétisme,category
W53.4,W534,morsure de rat | rue ou route,category
W53.5,W535,morsure de rat | zone de commerce et de service,category
W53.6,W536,morsure de rat | local industriel et chantier de construction,category
W53.7,W537,morsure de rat | exploitation agricole,category
W53.8,W538,morsure de rat | autres lieux précisés,category
W53.9,W539,"morsure de rat | lieu, sans précision",category
W54.0,W540,morsure ou coup donné par un chien | domicile,category
W54.1,W541,morsure ou coup donné par un chien | établissement collectif,category
W54.2,W542,"morsure ou coup donné par un chien | école, autre institution et lieu d'administration publique",category
W54.3,W543,morsure ou coup donné par un chien | lieu de sport et d'athlétisme,category
W54.4,W544,morsure ou coup donné par un chien | rue ou route,category
W54.5,W545,morsure ou coup donné par un chien | zone de commerce et de service,category
W54.6,W546,morsure ou coup donné par un chien | local industriel et chantier de construction,category
W54.7,W547,morsure ou coup donné par un chien | exploitation agricole,category
W54.8,W548,morsure ou coup donné par un chien | autres lieux précisés,category
W54.9,W549,"morsure ou coup donné par un chien | lieu, sans précision",category
W55.0,W550,morsure ou coup donné par d'autres mammifères | domicile,category
W55.1,W551,morsure ou coup donné par d'autres mammifères | établissement collectif,category
W55.2,W552,"morsure ou coup donné par d'autres mammifères | école, autre institution et lieu d'administration publique",category
W55.3,W553,morsure ou coup donné par d'autres mammifères | lieu de sport et d'athlétisme,category
W55.4,W554,morsure ou coup donné par d'autres mammifères | rue ou route,category
W55.5,W555,morsure ou coup donné par d'autres mammifères | zone de commerce et de service,category
W55.6,W556,morsure ou coup donné par d'autres mammifères | local industriel et chantier de construction,category
W55.7,W557,morsure ou coup donné par d'autres mammifères | exploitation agricole,category
W55.8,W558,morsure ou coup donné par d'autres mammifères | autres lieux précisés,category
W55.9,W559,"morsure ou coup donné par d'autres mammifères | lieu, sans précision",category
W56.0,W560,contact avec un animal marin | domicile,category
W56.1,W561,contact avec un animal marin | établissement collectif,category
W56.2,W562,"contact avec un animal marin | école, autre institution et lieu d'administration publique",category
W56.3,W563,contact avec un animal marin | lieu de sport et d'athlétisme,category
W56.4,W564,contact avec un animal marin | rue ou route,category
W56.5,W565,contact avec un animal marin | zone de commerce et de service,category
W56.6,W566,contact avec un animal marin | local industriel et chantier de construction,category
W56.7,W567,contact avec un animal marin | exploitation agricole,category
W56.8,W568,contact avec un animal marin | autres lieux précisés,category
W56.9,W569,"contact avec un animal marin | lieu, sans précision",category
W57.0,W570,morsure ou piqûre non venimeuse d'insectes et autres arthropodes | domicile,category
W57.1,W571,morsure ou piqûre non venimeuse d'insectes et autres arthropodes | établissement collectif,category
W57.2,W572,"morsure ou piqûre non venimeuse d'insectes et autres arthropodes | école, autre institution et lieu d'administration publique",category
W57.3,W573,morsure ou piqûre non venimeuse d'insectes et autres arthropodes | lieu de sport et d'athlétisme,category
W57.4,W574,morsure ou piqûre non venimeuse d'insectes et autres arthropodes | rue ou route,category
W57.5,W575,morsure ou piqûre non venimeuse d'insectes et autres arthropodes | zone de commerce et de service,category
W57.6,W576,morsure ou piqûre non venimeuse d'insectes et autres arthropodes | local industriel et chantier de construction,category
W57.7,W577,morsure ou piqûre non venimeuse d'insectes et autres arthropodes | exploitation agricole,category
W57.8,W578,morsure ou piqûre non venimeuse d'insectes et autres arthropodes | autres lieux précisés,category
W57.9,W579,"morsure ou piqûre non venimeuse d'insectes et autres arthropodes | lieu, sans précision",category
W58.0,W580,morsure ou coup donné par un crocodile ou un alligator | domicile,category
W58.1,W581,morsure ou coup donné par un crocodile ou un alligator | établissement collectif,category
W58.2,W582,"morsure ou coup donné par un crocodile ou un alligator | école, autre institution et lieu d'administration publique",category
W58.3,W583,morsure ou coup donné par un crocodile ou un alligator | lieu de sport et d'athlétisme,category
W58.4,W584,morsure ou coup donné par un crocodile ou un alligator | rue ou route,category
W58.5,W585,morsure ou coup donné par un crocodile ou un alligator | zone de commerce et de service,category
W58.6,W586,morsure ou coup donné par un crocodile ou un alligator | local industriel et chantier de construction,category
W58.7,W587,morsure ou coup donné par un crocodile ou un alligator | exploitation agricole,category
W58.8,W588,morsure ou coup donné par un crocodile ou un alligator | autres lieux précisés,category
W58.9,W589,"morsure ou coup donné par un crocodile ou un alligator | lieu, sans précision",category
W59.0,W590,morsure ou écrasement par d'autres reptiles | domicile,category
W59.1,W591,morsure ou écrasement par d'autres reptiles | établissement collectif,category
W59.2,W592,"morsure ou écrasement par d'autres reptiles | école, autre institution et lieu d'administration publique",category
W59.3,W593,morsure ou écrasement par d'autres reptiles | lieu de sport et d'athlétisme,category
W59.4,W594,morsure ou écrasement par d'autres reptiles | rue ou route,category
W59.5,W595,morsure ou écrasement par d'autres reptiles | zone de commerce et de service,category
W59.6,W596,morsure ou écrasement par d'autres reptiles | local industriel et chantier de construction,category
W59.7,W597,morsure ou écrasement par d'autres reptiles | exploitation agricole,category
W59.8,W598,morsure ou écrasement par d'autres reptiles | autres lieux précisés,category
W59.9,W599,"morsure ou écrasement par d'autres reptiles | lieu, sans précision",category
W60.0,W600,contact avec des épines de plantes et des feuilles acérées | domicile,category
W60.1,W601,contact avec des épines de plantes et des feuilles acérées | établissement collectif,category
W60.2,W602,"contact avec des épines de plantes et des feuilles acérées | école, autre institution et lieu d'administration publique",category
W60.3,W603,contact avec des épines de plantes et des feuilles acérées | lieu de sport et d'athlétisme,category
W60.4,W604,contact avec des épines de plantes et des feuilles acérées | rue ou route,category
W60.5,W605,contact avec des épines de plantes et des feuilles acérées | zone de commerce et de service,category
W60.6,W606,contact avec des épines de plantes et des feuilles acérées | local industriel et chantier de construction,category
W60.7,W607,contact avec des épines de plantes et des feuilles acérées | exploitation agricole,category
W60.8,W608,contact avec des épines de plantes et des feuilles acérées | autres lieux précisés,category
W60.9,W609,"contact avec des épines de plantes et des feuilles acérées | lieu, sans précision",category
W64.0,W640,"exposition à des forces animées, autres et sans précision | domicile",category
W64.1,W641,"exposition à des forces animées, autres et sans précision | établissement collectif",category
W64.2,W642,"exposition à des forces animées, autres et sans précision | école, autre institution et lieu d'administration publique",category
W64.3,W643,"exposition à des forces animées, autres et sans précision | lieu de sport et d'athlétisme",category
W64.4,W644,"exposition à des forces animées, autres et sans précision | rue ou route",category
W64.5,W645,"exposition à des forces animées, autres et sans précision | zone de commerce et de service",category
W64.6,W646,"exposition à des forces animées, autres et sans précision | local industriel et chantier de construction",category
W64.7,W647,"exposition à des forces animées, autres et sans précision | exploitation agricole",category
W64.8,W648,"exposition à des forces animées, autres et sans précision | autres lieux précisés",category
W64.9,W649,"exposition à des forces animées, autres et sans précision | lieu, sans précision",category
W65.0,W650,noyade et submersion dans une baignoire | domicile,category
W65.1,W651,noyade et submersion dans une baignoire | établissement collectif,category
W65.2,W652,"noyade et submersion dans une baignoire | école, autre institution et lieu d'administration publique",category
W65.3,W653,noyade et submersion dans une baignoire | lieu de sport et d'athlétisme,category
W65.4,W654,noyade et submersion dans une baignoire | rue ou route,category
W65.5,W655,noyade et submersion dans une baignoire | zone de commerce et de service,category
W65.6,W656,noyade et submersion dans une baignoire | local industriel et chantier de construction,category
W65.7,W657,noyade et submersion dans une baignoire | exploitation agricole,category
W65.8,W658,noyade et submersion dans une baignoire | autres lieux précisés,category
W65.9,W659,"noyade et submersion dans une baignoire | lieu, sans précision",category
W66.0,W660,noyade et submersion consécutives à une chute dans une baignoire | domicile,category
W66.1,W661,noyade et submersion consécutives à une chute dans une baignoire | établissement collectif,category
W66.2,W662,"noyade et submersion consécutives à une chute dans une baignoire | école, autre institution et lieu d'administration publique",category
W66.3,W663,noyade et submersion consécutives à une chute dans une baignoire | lieu de sport et d'athlétisme,category
W66.4,W664,noyade et submersion consécutives à une chute dans une baignoire | rue ou route,category
W66.5,W665,noyade et submersion consécutives à une chute dans une baignoire | zone de commerce et de service,category
W66.6,W666,noyade et submersion consécutives à une chute dans une baignoire | local industriel et chantier de construction,category
W66.7,W667,noyade et submersion consécutives à une chute dans une baignoire | exploitation agricole,category
W66.8,W668,noyade et submersion consécutives à une chute dans une baignoire | autres lieux précisés,category
W66.9,W669,"noyade et submersion consécutives à une chute dans une baignoire | lieu, sans précision",category
W67.0,W670,noyade et submersion dans une piscine | domicile,category
W67.1,W671,noyade et submersion dans une piscine | établissement collectif,category
W67.2,W672,"noyade et submersion dans une piscine | école, autre institution et lieu d'administration publique",category
W67.3,W673,noyade et submersion dans une piscine | lieu de sport et d'athlétisme,category
W67.4,W674,noyade et submersion dans une piscine | rue ou route,category
W67.5,W675,noyade et submersion dans une piscine | zone de commerce et de service,category
W67.6,W676,noyade et submersion dans une piscine | local industriel et chantier de construction,category
W67.7,W677,noyade et submersion dans une piscine | exploitation agricole,category
W67.8,W678,noyade et submersion dans une piscine | autres lieux précisés,category
W67.9,W679,"noyade et submersion dans une piscine | lieu, sans précision",category
W68.0,W680,noyade et submersion consécutives à une chute dans une piscine | domicile,category
W68.1,W681,noyade et submersion consécutives à une chute dans une piscine | établissement collectif,category
W68.2,W682,"noyade et submersion consécutives à une chute dans une piscine | école, autre institution et lieu d'administration publique",category
W68.3,W683,noyade et submersion consécutives à une chute dans une piscine | lieu de sport et d'athlétisme,category
W68.4,W684,noyade et submersion consécutives à une chute dans une piscine | rue ou route,category
W68.5,W685,noyade et submersion consécutives à une chute dans une piscine | zone de commerce et de service,category
W68.6,W686,noyade et submersion consécutives à une chute dans une piscine | local industriel et chantier de construction,category
W68.7,W687,noyade et submersion consécutives à une chute dans une piscine | exploitation agricole,category
W68.8,W688,noyade et submersion consécutives à une chute dans une piscine | autres lieux précisés,category
W68.9,W689,"noyade et submersion consécutives à une chute dans une piscine | lieu, sans précision",category
W69.0,W690,noyade et submersion dans des eaux naturelles | domicile,category
W69.1,W691,noyade et submersion dans des eaux naturelles | établissement collectif,category
W69.2,W692,"noyade et submersion dans des eaux naturelles | école, autre institution et lieu d'administration publique",category
W69.3,W693,noyade et submersion dans des eaux naturelles | lieu de sport et d'athlétisme,category
W69.4,W694,noyade et submersion dans des eaux naturelles | rue ou route,category
W69.5,W695,noyade et submersion dans des eaux naturelles | zone de commerce et de service,category
W69.6,W696,noyade et submersion dans des eaux naturelles | local industriel et chantier de construction,category
W69.7,W697,noyade et submersion dans des eaux naturelles | exploitation agricole,category
W69.8,W698,noyade et submersion dans des eaux naturelles | autres lieux précisés,category
W69.9,W699,"noyade et submersion dans des eaux naturelles | lieu, sans précision",category
W70.0,W700,noyade et submersion consécutives à une chute dans des eaux naturelles | domicile,category
W70.1,W701,noyade et submersion consécutives à une chute dans des eaux naturelles | établissement collectif,category
W70.2,W702,"noyade et submersion consécutives à une chute dans des eaux naturelles | école, autre institution et lieu d'administration publique",category
W70.3,W703,noyade et submersion consécutives à une chute dans des eaux naturelles | lieu de sport et d'athlétisme,category
W70.4,W704,noyade et submersion consécutives à une chute dans des eaux naturelles | rue ou route,category
W70.5,W705,noyade et submersion consécutives à une chute dans des eaux naturelles | zone de commerce et de service,category
W70.6,W706,noyade et submersion consécutives à une chute dans des eaux naturelles | local industriel et chantier de construction,category
W70.7,W707,noyade et submersion consécutives à une chute dans des eaux naturelles | exploitation agricole,category
W70.8,W708,noyade et submersion consécutives à une chute dans des eaux naturelles | autres lieux précisés,category
W70.9,W709,"noyade et submersion consécutives à une chute dans des eaux naturelles | lieu, sans précision",category
W73.0,W730,autres formes de noyade et submersion précisées | domicile,category
W73.1,W731,autres formes de noyade et submersion précisées | établissement collectif,category
W73.2,W732,"autres formes de noyade et submersion précisées | école, autre institution et lieu d'administration publique",category
W73.3,W733,autres formes de noyade et submersion précisées | lieu de sport et d'athlétisme,category
W73.4,W734,autres formes de noyade et submersion précisées | rue ou route,category
W73.5,W735,autres formes de noyade et submersion précisées | zone de commerce et de service,category
W73.6,W736,autres formes de noyade et submersion précisées | local industriel et chantier de construction,category
W73.7,W737,autres formes de noyade et submersion précisées | exploitation agricole,category
W73.8,W738,autres formes de noyade et submersion précisées | autres lieux précisés,category
W73.9,W739,"autres formes de noyade et submersion précisées | lieu, sans précision",category
W74.0,W740,"noyade et submersion, sans précision | domicile",category
W74.1,W741,"noyade et submersion, sans précision | établissement collectif",category
W74.2,W742,"noyade et submersion, sans précision | école, autre institution et lieu d'administration publique",category
W74.3,W743,"noyade et submersion, sans précision | lieu de sport et d'athlétisme",category
W74.4,W744,"noyade et submersion, sans précision | rue ou route",category
W74.5,W745,"noyade et submersion, sans précision | zone de commerce et de service",category
W74.6,W746,"noyade et submersion, sans précision | local industriel et chantier de construction",category
W74.7,W747,"noyade et submersion, sans précision | exploitation agricole",category
W74.8,W748,"noyade et submersion, sans précision | autres lieux précisés",category
W74.9,W749,"noyade et submersion, sans précision | lieu, sans précision",category
W75.0,W750,suffocation et strangulation accidentelles dans un lit | domicile,category
W75.1,W751,suffocation et strangulation accidentelles dans un lit | établissement collectif,category
W75.2,W752,"suffocation et strangulation accidentelles dans un lit | école, autre institution et lieu d'administration publique",category
W75.3,W753,suffocation et strangulation accidentelles dans un lit | lieu de sport et d'athlétisme,category
W75.4,W754,suffocation et strangulation accidentelles dans un lit | rue ou route,category
W75.5,W755,suffocation et strangulation accidentelles dans un lit | zone de commerce et de service,category
W75.6,W756,suffocation et strangulation accidentelles dans un lit | local industriel et chantier de construction,category
W75.7,W757,suffocation et strangulation accidentelles dans un lit | exploitation agricole,category
W75.8,W758,suffocation et strangulation accidentelles dans un lit | autres lieux précisés,category
W75.9,W759,"suffocation et strangulation accidentelles dans un lit | lieu, sans précision",category
W76.0,W760,autre pendaison et strangulation accidentelles | domicile,category
W76.1,W761,autre pendaison et strangulation accidentelles | établissement collectif,category
W76.2,W762,"autre pendaison et strangulation accidentelles | école, autre institution et lieu d'administration publique",category
W76.3,W763,autre pendaison et strangulation accidentelles | lieu de sport et d'athlétisme,category
W76.4,W764,autre pendaison et strangulation accidentelles | rue ou route,category
W76.5,W765,autre pendaison et strangulation accidentelles | zone de commerce et de service,category
W76.6,W766,autre pendaison et strangulation accidentelles | local industriel et chantier de construction,category
W76.7,W767,autre pendaison et strangulation accidentelles | exploitation agricole,category
W76.8,W768,autre pendaison et strangulation accidentelles | autres lieux précisés,category
W76.9,W769,"autre pendaison et strangulation accidentelles | lieu, sans précision",category
W77.0,W770,"danger pour la respiration dû à un affaissement du sol, une coulée de terre et d'autres substances | domicile",category
W77.1,W771,"danger pour la respiration dû à un affaissement du sol, une coulée de terre et d'autres substances | établissement collectif",category
W77.2,W772,"danger pour la respiration dû à un affaissement du sol, une coulée de terre et d'autres substances | école, autre institution et lieu d'administration publique",category
W77.3,W773,"danger pour la respiration dû à un affaissement du sol, une coulée de terre et d'autres substances | lieu de sport et d'athlétisme",category
W77.4,W774,"danger pour la respiration dû à un affaissement du sol, une coulée de terre et d'autres substances | rue ou route",category
W77.5,W775,"danger pour la respiration dû à un affaissement du sol, une coulée de terre et d'autres substances | zone de commerce et de service",category
W77.6,W776,"danger pour la respiration dû à un affaissement du sol, une coulée de terre et d'autres substances | local industriel et chantier de construction",category
W77.7,W777,"danger pour la respiration dû à un affaissement du sol, une coulée de terre et d'autres substances | exploitation agricole",category
W77.8,W778,"danger pour la respiration dû à un affaissement du sol, une coulée de terre et d'autres substances | autres lieux précisés",category
W77.9,W779,"danger pour la respiration dû à un affaissement du sol, une coulée de terre et d'autres substances | lieu, sans précision",category
W78.0,W780,inhalation du contenu de l'estomac | domicile,category
W78.1,W781,inhalation du contenu de l'estomac | établissement collectif,category
W78.2,W782,"inhalation du contenu de l'estomac | école, autre institution et lieu d'administration publique",category
W78.3,W783,inhalation du contenu de l'estomac | lieu de sport et d'athlétisme,category
W78.4,W784,inhalation du contenu de l'estomac | rue ou route,category
W78.5,W785,inhalation du contenu de l'estomac | zone de commerce et de service,category
W78.6,W786,inhalation du contenu de l'estomac | local industriel et chantier de construction,category
W78.7,W787,inhalation du contenu de l'estomac | exploitation agricole,category
W78.8,W788,inhalation du contenu de l'estomac | autres lieux précisés,category
W78.9,W789,"inhalation du contenu de l'estomac | lieu, sans précision",category
W79.0,W790,inhalation et ingestion d'aliments provoquant une obstruction des voies respiratoires | domicile,category
W79.1,W791,inhalation et ingestion d'aliments provoquant une obstruction des voies respiratoires | établissement collectif,category
W79.2,W792,"inhalation et ingestion d'aliments provoquant une obstruction des voies respiratoires | école, autre institution et lieu d'administration publique",category
W79.3,W793,inhalation et ingestion d'aliments provoquant une obstruction des voies respiratoires | lieu de sport et d'athlétisme,category
W79.4,W794,inhalation et ingestion d'aliments provoquant une obstruction des voies respiratoires | rue ou route,category
W79.5,W795,inhalation et ingestion d'aliments provoquant une obstruction des voies respiratoires | zone de commerce et de service,category
W79.6,W796,inhalation et ingestion d'aliments provoquant une obstruction des voies respiratoires | local industriel et chantier de construction,category
W79.7,W797,inhalation et ingestion d'aliments provoquant une obstruction des voies respiratoires | exploitation agricole,category
W79.8,W798,inhalation et ingestion d'aliments provoquant une obstruction des voies respiratoires | autres lieux précisés,category
W79.9,W799,"inhalation et ingestion d'aliments provoquant une obstruction des voies respiratoires | lieu, sans précision",category
W80.0,W800,inhalation et ingestion d'autres objets provoquant une obstruction des voies respiratoires | domicile,category
W80.1,W801,inhalation et ingestion d'autres objets provoquant une obstruction des voies respiratoires | établissement collectif,category
W80.2,W802,"inhalation et ingestion d'autres objets provoquant une obstruction des voies respiratoires | école, autre institution et lieu d'administration publique",category
W80.3,W803,inhalation et ingestion d'autres objets provoquant une obstruction des voies respiratoires | lieu de sport et d'athlétisme,category
W80.4,W804,inhalation et ingestion d'autres objets provoquant une obstruction des voies respiratoires | rue ou route,category
W80.5,W805,inhalation et ingestion d'autres objets provoquant une obstruction des voies respiratoires | zone de commerce et de service,category
W80.6,W806,inhalation et ingestion d'autres objets provoquant une obstruction des voies respiratoires | local industriel et chantier de construction,category
W80.7,W807,inhalation et ingestion d'autres objets provoquant une obstruction des voies respiratoires | exploitation agricole,category
W80.8,W808,inhalation et ingestion d'autres objets provoquant une obstruction des voies respiratoires | autres lieux précisés,category
W80.9,W809,"inhalation et ingestion d'autres objets provoquant une obstruction des voies respiratoires | lieu, sans précision",category
W81.0,W810,confinement ou emprisonnement dans un environnement pauvre en oxygène | domicile,category
W81.1,W811,confinement ou emprisonnement dans un environnement pauvre en oxygène | établissement collectif,category
W81.2,W812,"confinement ou emprisonnement dans un environnement pauvre en oxygène | école, autre institution et lieu d'administration publique",category
W81.3,W813,confinement ou emprisonnement dans un environnement pauvre en oxygène | lieu de sport et d'athlétisme,category
W81.4,W814,confinement ou emprisonnement dans un environnement pauvre en oxygène | rue ou route,category
W81.5,W815,confinement ou emprisonnement dans un environnement pauvre en oxygène | zone de commerce et de service,category
W81.6,W816,confinement ou emprisonnement dans un environnement pauvre en oxygène | local industriel et chantier de construction,category
W81.7,W817,confinement ou emprisonnement dans un environnement pauvre en oxygène | exploitation agricole,category
W81.8,W818,confinement ou emprisonnement dans un environnement pauvre en oxygène | autres lieux précisés,category
W81.9,W819,"confinement ou emprisonnement dans un environnement pauvre en oxygène | lieu, sans précision",category
W83.0,W830,autres dangers pour la respiration | domicile,category
W83.1,W831,autres dangers pour la respiration | établissement collectif,category
