code,abbrev,label,type
M45.X2,M45X2,"spondylarthrite ankylosante, sans précision | région cervicale",category
M45.X3,M45X3,"spondylarthrite ankylosante, sans précision | région cervico-dorsale",category
M45.X4,M45X4,"spondylarthrite ankylosante, sans précision | région dorsale",category
M45.X5,M45X5,"spondylarthrite ankylosante, sans précision | région dorso-lombaire",category
M45.X6,M45X6,"spondylarthrite ankylosante, sans précision | région lombaire",category
M45.X7,M45X7,"spondylarthrite ankylosante, sans précision | région lombo-sacrée",category
M45.X8,M45X8,"spondylarthrite ankylosante, sans précision | région sacrée et sacro-coccygienne",category
M45.X9,M45X9,"spondylarthrite ankylosante, sans précision | localisation non précisée",category
M72.3,M723,fasciite nodulaire,category
M72.30,M7230,fasciite nodulaire | sièges multiples,category
M72.31,M7231,fasciite nodulaire | région scapulaire,category
M72.32,M7232,fasciite nodulaire | bras,category
M72.33,M7233,fasciite nodulaire | avant-bras,category
M72.34,M7234,fasciite nodulaire | main,category
M72.35,M7235,fasciite nodulaire | région pelvienne et cuisse,category
M72.36,M7236,fasciite nodulaire | jambe,category
M72.37,M7237,fasciite nodulaire | cheville et pied,category
M72.38,M7238,fasciite nodulaire | autres,category
M72.39,M7239,fasciite nodulaire | siège non précisé,category
M72.5,M725,"fasciite, non classée ailleurs",category
M72.50,M7250,"fasciite, non classée ailleurs | sièges multiples",category
M72.51,M7251,"fasciite, non classée ailleurs | région scapulaire",category
M72.52,M7252,"fasciite, non classée ailleurs | bras",category
M72.53,M7253,"fasciite, non classée ailleurs | avant-bras",category
M72.54,M7254,"fasciite, non classée ailleurs | main",category
M72.55,M7255,"fasciite, non classée ailleurs | région pelvienne et cuisse",category
M72.56,M7256,"fasciite, non classée ailleurs | jambe",category
M72.57,M7257,"fasciite, non classée ailleurs | cheville et pied",category
M72.58,M7258,"fasciite, non classée ailleurs | autres",category
M72.59,M7259,"fasciite, non classée ailleurs | siège non précisé",category
N18.0,N180,insuffisance rénale terminale,category
N18.8,N188,autres insuffisances rénales chroniques,category
O04.0,O040,"avortement médical | incomplet, compliqué d'une infection de l'appareil génital et des organes pelviens",category
O04.1,O041,"avortement médical | incomplet, compliqué d'une hémorragie retardée ou sévère",category
O04.2,O042,"avortement médical | incomplet, compliqué d'une embolie",category
O04.3,O043,"avortement médical | incomplet, avec complications autres et non précisées",category
O04.4,O044,"avortement médical | incomplet, sans complication",category
O04.5,O045,"avortement médical | complet ou sans précision, compliqué d'une infection de l'appareil génital et des organes pelviens",category
O04.6,O046,"avortement médical | complet ou sans précision, compliqué d'une hémorragie retardée ou sévère",category
O04.7,O047,"avortement médical | complet ou sans précision, compliqué d'une embolie",category
O04.8,O048,"avortement médical | complet ou sans précision, avec complications autres et non précisées",category
O04.9,O049,"avortement médical | complet ou sans précision, sans complication",category
Q31.4,Q314,stridor laryngé congénital,category
Q35.6,Q356,fente médiane du palais,category
R50.0,R500,fièvre avec frissons,category
R50.1,R501,fièvre persistante,category
T08.X,T08X,"fracture du rachis, niveau non précisé",category
T08.X0,T08X0,"fracture du rachis, niveau non précisé | fracture fermée",category
T08.X1,T08X1,"fracture du rachis, niveau non précisé | fracture ouverte",category
T10.X,T10X,"fracture du membre supérieur, niveau non précisé",category
T10.X0,T10X0,"fracture du membre supérieur, niveau non précisé | fracture fermée",category
T10.X1,T10X1,"fracture du membre supérieur, niveau non précisé | fracture ouverte",category
T12.X,T12X,"fracture du membre inférieur, niveau non précisé",category
T12.X0,T12X0,"fracture du membre inférieur, niveau non précisé | fracture fermée",category
T12.X1,T12X1,"fracture du membre inférieur, niveau non précisé | fracture ouverte",category
W00.0,W000,chute de plain-pied due à la glace et la neige | domicile,category
W00.1,W001,chute de plain-pied due à la glace et la neige | établissement collectif,category
W00.2,W002,"chute de plain-pied due à la glace et la neige | école, autre institution et lieu d'administration publique",category
W00.3,W003,chute de plain-pied due à la glace et la neige | lieu de sport et d'athlétisme,category
