code,type,texte_retenu,texte_alternatif_ans,libelles_identiques_apres_normalisation,difference_significative
F94.0,exclusion,mutisme transitoire accompagnant une angoissede séparation chez de jeunes enfants,"mutisme transitoire accompagnant une angoisse de séparation chez de jeunes enfants [F93.0]
schizophrénie [F20.-]
troubles :
 - envahissants du développement [F84.-] 
 - spécifiques du développement de la parole et du langage [F80.-] 
",false,true
F94.0,exclusion,schizophrénie,"mutisme transitoire accompagnant une angoisse de séparation chez de jeunes enfants [F93.0]
schizophrénie [F20.-]
troubles :
 - envahissants du développement [F84.-] 
 - spécifiques du développement de la parole et du langage [F80.-] 
",false,true
F94.0,exclusion,troubles envahissants du développement,"mutisme transitoire accompagnant une angoisse de séparation chez de jeunes enfants [F93.0]
schizophrénie [F20.-]
troubles :
 - envahissants du développement [F84.-] 
 - spécifiques du développement de la parole et du langage [F80.-] 
",false,true
F94.0,exclusion,troubles spécifiques du développement de la parole et du langage,"mutisme transitoire accompagnant une angoisse de séparation chez de jeunes enfants [F93.0]
schizophrénie [F20.-]
troubles :
 - envahissants du développement [F84.-] 
 - spécifiques du développement de la parole et du langage [F80.-] 
",false,true
F94.1,exclusion,syndrome d'Asperger,"sévices sexuels ou physiques infligés à un enfant, entraînant des problèmes psychosociaux [Z61.4-Z61.6]
syndrome d'Asperger [F84.5]
syndromes dus à de mauvais traitements [T74.-]
trouble de l'attachement de l'enfance avec désinhibition [F94.2]
variation normale du mode d'attachement sélectif
",false,true
F94.1,exclusion,syndromes dus à de mauvais traitements,"sévices sexuels ou physiques infligés à un enfant, entraînant des problèmes psychosociaux [Z61.4-Z61.6]
syndrome d'Asperger [F84.5]
syndromes dus à de mauvais traitements [T74.-]
trouble de l'attachement de l'enfance avec désinhibition [F94.2]
variation normale du mode d'attachement sélectif
",false,true
F94.1,exclusion,"sévices sexuels ou physiques infligés à un enfant, entraînant des problèmes psychosociaux","sévices sexuels ou physiques infligés à un enfant, entraînant des problèmes psychosociaux [Z61.4-Z61.6]
syndrome d'Asperger [F84.5]
syndromes dus à de mauvais traitements [T74.-]
trouble de l'attachement de l'enfance avec désinhibition [F94.2]
variation normale du mode d'attachement sélectif
",false,true
F94.1,exclusion,trouble de l'attachement de l'enfance avec désinhibition,"sévices sexuels ou physiques infligés à un enfant, entraînant des problèmes psychosociaux [Z61.4-Z61.6]
syndrome d'Asperger [F84.5]
syndromes dus à de mauvais traitements [T74.-]
trouble de l'attachement de l'enfance avec désinhibition [F94.2]
variation normale du mode d'attachement sélectif
",false,true
F94.2,exclusion,hospitalisme chez l'enfant,"hospitalisme chez l'enfant [F43.2]
syndrome d'Asperger [F84.5]
trouble(s) :
 - hyperkinétiques [F90.-] 
 - réactionnel de l'attachement de l'enfance [F94.1] 
",false,true
F94.2,exclusion,syndrome d'Asperger,"hospitalisme chez l'enfant [F43.2]
syndrome d'Asperger [F84.5]
trouble(s) :
 - hyperkinétiques [F90.-] 
 - réactionnel de l'attachement de l'enfance [F94.1] 
",false,true
F94.2,exclusion,trouble(s) hyperkinétiques,"hospitalisme chez l'enfant [F43.2]
syndrome d'Asperger [F84.5]
trouble(s) :
 - hyperkinétiques [F90.-] 
 - réactionnel de l'attachement de l'enfance [F94.1] 
",false,true
F94.2,exclusion,trouble(s) réactionnel de l'attachement de l'enfance,"hospitalisme chez l'enfant [F43.2]
syndrome d'Asperger [F84.5]
trouble(s) :
 - hyperkinétiques [F90.-] 
 - réactionnel de l'attachement de l'enfance [F94.1] 
",false,true
F98,exclusion,spasme du sanglot,"spasme du sanglot [R06.8]
syndrome de Kleine–Levin [G47.8]
trouble(s) (de) :
 - identité sexuelle de l'enfance [F64.2] 
 - obsessionnel-compulsif [F42.-] 
 - sommeil dus à des causes émotionnelles [F51.-] 
",false,true
F98,exclusion,syndrome de Kleine-Levin,"spasme du sanglot [R06.8]
syndrome de Kleine–Levin [G47.8]
trouble(s) (de) :
 - identité sexuelle de l'enfance [F64.2] 
 - obsessionnel-compulsif [F42.-] 
 - sommeil dus à des causes émotionnelles [F51.-] 
",false,true
F98,exclusion,trouble(s) (de) identité sexuelle de l'enfance,"spasme du sanglot [R06.8]
syndrome de Kleine–Levin [G47.8]
trouble(s) (de) :
 - identité sexuelle de l'enfance [F64.2] 
 - obsessionnel-compulsif [F42.-] 
 - sommeil dus à des causes émotionnelles [F51.-] 
",false,true
F98,exclusion,trouble(s) (de) obsessionnel-compulsif,"spasme du sanglot [R06.8]
syndrome de Kleine–Levin [G47.8]
trouble(s) (de) :
 - identité sexuelle de l'enfance [F64.2] 
 - obsessionnel-compulsif [F42.-] 
 - sommeil dus à des causes émotionnelles [F51.-] 
",false,true
F98,exclusion,trouble(s) (de) sommeil dus à des causes émotionnelles,"spasme du sanglot [R06.8]
syndrome de Kleine–Levin [G47.8]
trouble(s) (de) :
 - identité sexuelle de l'enfance [F64.2] 
 - obsessionnel-compulsif [F42.-] 
 - sommeil dus à des causes émotionnelles [F51.-] 
",false,true
F98.0,exclusion,énurésie SAI,"énurésie SAI [R32]
",false,true
F98.1,exclusion,encoprésie SAI,"encoprésie SAI [R15]
",false,true
F98.2,exclusion,anorexie mentale et autres troubles de l'alimentation,"anorexie mentale et autres troubles de l'alimentation [F50.-]
difficultés nutritionnelles et nutrition inadaptée [R63.3]
pica du nourrisson et de l'enfant [F98.3]
problèmes alimentaires du nouveau-né [P92.-]
",false,true
F98.2,exclusion,difficultés nutritionnelles et nutrition inadaptée,"anorexie mentale et autres troubles de l'alimentation [F50.-]
difficultés nutritionnelles et nutrition inadaptée [R63.3]
pica du nourrisson et de l'enfant [F98.3]
problèmes alimentaires du nouveau-né [P92.-]
",false,true
