code,type,texte_retenu,texte_alternatif_ans,libelles_identiques_apres_normalisation,difference_significative
F60.0,exclusion,paranoïa quérulente,"état paranoïaque [F22.0]
paranoïa [F22.0]  - quérulente [F22.8] 
psychose paranoïaque [F22.0] 
schizophrénie paranoïde [F20.0] 
",false,true
F60.0,exclusion,psychose paranoïaque,"état paranoïaque [F22.0]
paranoïa [F22.0]  - quérulente [F22.8] 
psychose paranoïaque [F22.0] 
schizophrénie paranoïde [F20.0] 
",false,true
F60.0,exclusion,schizophrénie paranoïde,"état paranoïaque [F22.0]
paranoïa [F22.0]  - quérulente [F22.8] 
psychose paranoïaque [F22.0] 
schizophrénie paranoïde [F20.0] 
",false,true
F60.0,exclusion,état paranoïaque,"état paranoïaque [F22.0]
paranoïa [F22.0]  - quérulente [F22.8] 
psychose paranoïaque [F22.0] 
schizophrénie paranoïde [F20.0] 
",false,true
F60.1,exclusion,schizophrénie,"schizophrénie [F20.-]
syndrome d'Asperger [F84.5]
trouble :
 - délirant [F22.0] 
 - schizoïde de l'enfance [F84.5] 
 - schizotypique [F21] 
",false,true
F60.1,exclusion,syndrome d'Asperger,"schizophrénie [F20.-]
syndrome d'Asperger [F84.5]
trouble :
 - délirant [F22.0] 
 - schizoïde de l'enfance [F84.5] 
 - schizotypique [F21] 
",false,true
F60.1,exclusion,trouble délirant,"schizophrénie [F20.-]
syndrome d'Asperger [F84.5]
trouble :
 - délirant [F22.0] 
 - schizoïde de l'enfance [F84.5] 
 - schizotypique [F21] 
",false,true
F60.1,exclusion,trouble schizotypique,"schizophrénie [F20.-]
syndrome d'Asperger [F84.5]
trouble :
 - délirant [F22.0] 
 - schizoïde de l'enfance [F84.5] 
 - schizotypique [F21] 
",false,true
F60.1,exclusion,trouble schizoïde de l'enfance,"schizophrénie [F20.-]
syndrome d'Asperger [F84.5]
trouble :
 - délirant [F22.0] 
 - schizoïde de l'enfance [F84.5] 
 - schizotypique [F21] 
",false,true
F60.2,exclusion,personnalité émotionnellement labile,"personnalité émotionnellement labile [F60.3]
trouble des conduites [F91]
",false,true
F60.2,exclusion,trouble des conduites,"personnalité émotionnellement labile [F60.3]
trouble des conduites [F91]
",false,true
F60.3,exclusion,personnalité dyssociale,"personnalité dyssociale [F60.2]
",false,true
F60.5,exclusion,trouble obsessionnel-compulsif,"trouble obsessionnel-compulsif [F42.-]
",false,true
F61,exclusion,accentuation de certains traits de la personnalité,"accentuation de certains traits de la personnalité [Z73.1]
",false,true
F62,exclusion,"trouble de la personnalité et du comportement dû à une affection, une lésion et un dysfonctionnement cérébraux","trouble de la personnalité et du comportement dû à une affection, une lésion et un dysfonctionnement cérébraux [F07.-]
",false,true
F62.0,exclusion,état de stress post-traumatique,"état de stress posttraumatique [F43.1]
",false,true
