code,field,owl_value,ofs_value,resolved_to
M99.52,label,"Rétrécissement du canal rachidien par lésion discale - "" Région thoracique """,rétrécissement du canal rachidien par lésion discale | région thoracique,OWL_ANS
M99.53,label,"Rétrécissement du canal rachidien par lésion discale - "" Région lombaire """,rétrécissement du canal rachidien par lésion discale | région lombaire,OWL_ANS
M99.54,label,"Rétrécissement du canal rachidien par lésion discale - "" Région sacrée """,rétrécissement du canal rachidien par lésion discale | région sacrée,OWL_ANS
M99.60,label,"Rétrécissement des espaces intervertébraux par ossification et subluxation - "" Tête """,rétrécissement des espaces intervertébraux par ossification et subluxation | tête,OWL_ANS
M99.61,label,"Rétrécissement des espaces intervertébraux par ossification et subluxation - "" Région cervicale """,rétrécissement des espaces intervertébraux par ossification et subluxation | région cervicale,OWL_ANS
M99.62,label,"Rétrécissement des espaces intervertébraux par ossification et subluxation - "" Région thoracique """,rétrécissement des espaces intervertébraux par ossification et subluxation | région thoracique,OWL_ANS
M99.63,label,"Rétrécissement des espaces intervertébraux par ossification et subluxation - "" Région lombaire """,rétrécissement des espaces intervertébraux par ossification et subluxation | région lombaire,OWL_ANS
M99.64,label,"Rétrécissement des espaces intervertébraux par ossification et subluxation - "" Région sacrée """,rétrécissement des espaces intervertébraux par ossification et subluxation | région sacrée,OWL_ANS
M99.70,label,"Rétrécissement des espaces intervertébraux par tissu conjonctif et discal - "" Tête """,rétrécissement des espaces intervertébraux par tissu conjonctif et discal | tête,OWL_ANS
M99.71,label,"Rétrécissement des espaces intervertébraux par tissu conjonctif et discal - "" Région cervicale """,rétrécissement des espaces intervertébraux par tissu conjonctif et discal | région cervicale,OWL_ANS
M99.72,label,"Rétrécissement des espaces intervertébraux par tissu conjonctif et discal - "" Région thoracique """,rétrécissement des espaces intervertébraux par tissu conjonctif et discal | région thoracique,OWL_ANS
M99.73,label,"Rétrécissement des espaces intervertébraux par tissu conjonctif et discal - "" Région lombaire """,rétrécissement des espaces intervertébraux par tissu conjonctif et discal | région lombaire,OWL_ANS
