code,field,owl_value,ofs_value,resolved_to
A02.1,label,Sepsis  à Salmonella,septicémie à Salmonella,OWL_ANS
A04.3,label,Infection entérohémorragique à Escherichia coli,infection entéro-hémorragique à Escherichia coli,OWL_ANS
A05,label,"Autres intoxications bactériennes d'origine alimentaire, non classées ailleurs",autres intoxications bactériennes d'origine alimentaire,OWL_ANS
A06.3,label,Amœbome de l'intestin,amoebome de l'intestin,OWL_ANS
A08.1,label,Gastroentéropathie aigüe due à un norovirus,gastro-entéropathie aiguë à l'agent de Norwalk,OWL_ANS
A09,label,Autres gastroentérites et colites d'origine infectieuse et non précisée,diarrhée et gastro-entérite d'origine présumée infectieuse,OWL_ANS
A18.4,label,Tuberculose de la peau et du tissu cellulaire souscutané,tuberculose de la peau et du tissu cellulaire sous-cutané,OWL_ANS
A18.5,label,Tuberculose de l'œil,tuberculose de l'oeil,OWL_ANS
A21.0,label,Tularémie ulcéroglandulaire,tularémie ulcéro­glandulaire,OWL_ANS
A21.1,label,Tularémie oculoglandulaire,tularémie oculo-glandulaire,OWL_ANS
A22.7,label,Sepsis charbonneux,septicémie charbonneuse,OWL_ANS
A26.7,label,Sepsis à Erysipelothrix,septicémie à Erysipelothrix,OWL_ANS
A27.0,label,Leptospirose ictérohémorragique,leptospirose ictéro-hémorragique,OWL_ANS
A32.1,label,Méningite et méningoencéphalite listériennes,méningite et méningo-encéphalite listériennes,OWL_ANS
A32.7,label,Sepsis listérien,septicémie listérienne,OWL_ANS
A33,label,Tétanos du nouveau-né,tétanos néonatal,OWL_ANS
A40,label,Sepsis à streptocoques,septicémie à streptocoques,OWL_ANS
A40.0,label,"Sepsis à streptocoques, groupe A","septicémie à streptocoques, groupe A",OWL_ANS
A40.1,label,"Sepsis à streptocoques, groupe B","septicémie à streptocoques, groupe B",OWL_ANS
A40.2,label,Sepsis à streptocoques groupe D et entérocoques,"septicémie à streptocoques, groupe D",OWL_ANS
A40.3,label,Sepsis à Streptococcus pneumoniae,septicémie à Streptococcus pneumoniae,OWL_ANS
A40.8,label,Autres sepsis à streptocoques,autres septicémies à streptocoques,OWL_ANS
A40.9,label,"Sepsis à streptocoques, sans précision","septicémie à streptocoques, sans précision",OWL_ANS
A41,label,Autres sepsis,autres septicémies,OWL_ANS
A41.0,label,Sepsis à staphylocoques dorés,septicémie à staphylocoques dorés,OWL_ANS
A41.1,label,Sepsis à d'autres staphylocoques précisés,septicémie à d'autres staphylocoques précisés,OWL_ANS
A41.2,label,Sepsis à staphylocoques non précisés,septicémie à staphylocoques non précisés,OWL_ANS
A41.3,label,Sepsis à Haemophilus influenzae,septicémie à Haemophilus influenzae,OWL_ANS
A41.4,label,Sepsis à microorganismes anaérobies,septicémie à micro-organismes anaérobies,OWL_ANS
A41.5,label,Sepsis à d'autres microorganismes Gram négatif,septicémie à d'autres micro-organismes Gram négatif,OWL_ANS
A41.8,label,Autres sepsis précisés,autres septicémies précisées,OWL_ANS
A41.9,label,"Sepsis, sans précision","septicémie, sans précision",OWL_ANS
A42.2,label,Actinomycose cervicofaciale,actinomycose cervico-faciale,OWL_ANS
A42.7,label,Sepsis actinomycosique,septicémie actinomycosique,OWL_ANS
A44.1,label,Bartonellose cutanée et cutanéomuqueuse,bartonellose cutanée et cutanéo-muqueuse,OWL_ANS
A49.0,label,"Infection à staphylocoques, siège non précisé","infection à staphylocoques, sans précision",OWL_ANS
A49.1,label,"Infection à streptocoques et entérocoques, siège non précisé","infection à streptocoques, sans précision",OWL_ANS
A49.2,label,"Infection à Haemophilus influenzae, siège non précisé","infection à Haemophilus influenzae, sans précision",OWL_ANS
A49.3,label,"Infection à Mycoplasma, siège non précisé","infection à Mycoplasma, sans précision",OWL_ANS
A50.4,label,Syphilis congénitale nerveuse tardive [neurosyphilis juvénile],syphilis congénitale nerveuse tardive [neuro-syphilis juvénile],OWL_ANS
A52.0,label,Syphilis cardiovasculaire,syphilis cardio-vasculaire,OWL_ANS
A54.3,label,Infection gonococcique de l'œil,infection gonococcique de l'oeil,OWL_ANS
A54.4,label,Infection gonococcique du système ostéoarticulaire et des muscles,infection gonococcique du système ostéo-articulaire et des muscles,OWL_ANS
A56.1,label,"Infection à Chlamydia, pelvipéritonéale et des autres organes génito-urinaires","infection à Chlamydia, pelvi-péritonéale et des autres organes génito-urinaires",OWL_ANS
A59.0,label,Trichomonase urogénitale,trichomonase uro-génitale,OWL_ANS
A60,label,Infection anogénitale par le virus de l'herpès [Herpes simplex],infection ano-génitale par le virus de l'herpès [herpes simplex],OWL_ANS
A60.9,label,"Infection anogénitale par le virus de l'herpès, sans précision","infection ano-génitale par le virus de l'herpès, sans précision",OWL_ANS
A63.0,label,Condylomes anogénitaux (vénériens),condylomes ano-génitaux (vénériens),OWL_ANS
A66.6,label,Lésions ostéoarticulaires pianiques,lésions ostéo-articulaires pianiques,OWL_ANS
A69.0,label,Stomatite ulcéronécrotique,stomatite ulcéro-nécrotique,OWL_ANS
A75.3,label,Typhus à Rickettsia tsutsugamushi,typhus à Rickettsia tsutsugamushui,OWL_ANS
A81,label,"Infections atypiques à virus, du système nerveux central","infections virales atypiques, du système nerveux central",OWL_ANS
A81.8,label,"Autres infections atypiques à virus, du système nerveux central","autres infections virales atypiques, du système nerveux central",OWL_ANS
A81.9,label,"Infection atypiques à virus, du système nerveux central, sans précision","infection virales atypiques, du système nerveux central, sans précision",OWL_ANS
A84.0,label,Encéphalite de la taïga [encéphalite vernoestivale russe],encéphalite de la taïga [encéphalite verno-estivale russe],OWL_ANS
A92.1,label,Fièvre due au virus O'nyong-nyong,fièvre due au virus Onyong-nyong,OWL_ANS
A92.3,label,Infection due au virus West Nile,fièvre West Nile,OWL_ANS
A98.0,label,Fièvre hémorragique de Crimée-Congo,fièvre hémorragique de Crimée [du Congo],OWL_ANS
B00-B09,label,Infections virales caractérisées par des lésions cutanéomuqueuses,infections virales caractérisées par des lésions cutanéo-muqueuses,OWL_ANS
B00.0,label,Exéma [Eczéma] herpétique,eczéma herpétique,OWL_ANS
B00.2,label,Gingivostomatite et pharyngoamygdalite due au virus de l'herpès,gingivo-stomatite et pharyngo-amygdalite due au virus de l'herpès,OWL_ANS
B08,label,"Autres infections virales caractérisées par des lésions cutanéomuqueuses, non classées ailleurs","autres infections virales caractérisées par des lésions cutanéo-muqueuses, non classées ailleurs",OWL_ANS
B08.8,label,"Autres infections virales précisées, caractérisées par des lésions cutanéomuqueuses","autres infections virales précisées, caractérisées par des lésions cutanéo-muqueuses",OWL_ANS
B09,label,"Infection virale caractérisée par des lésions cutanéomuqueuses, sans précision","infection virale caractérisée par des lésions cutanéo-muqueuses, sans précision",OWL_ANS
B17.0,label,(Sur)infection aigüe par agent delta au cours de l'hépatite B chronique,(sur)infection aiguë par agent delta d'un sujet porteur de l'hépatite B,OWL_ANS
B19.0,label,"Hépatite virale, sans précision, avec coma hépatique","hépatite virale, sans précision, avec coma",OWL_ANS
B19.9,label,"Hépatite virale, sans précision, sans coma hépatique","hépatite virale, sans précision, sans coma",OWL_ANS
B30.2,label,Pharyngoconjonctivite virale,pharyngo-conjonctivite virale,OWL_ANS
B34.0,label,"Infection adénovirale, siège non précisé","infection adénovirale, sans précision",OWL_ANS
B34.1,label,"Infection entérovirale, siège non précisé","infection entérovirale, sans précision",OWL_ANS
B34.2,label,"Infection coronavirale, siège non précisé","infection coronavirale, sans précision",OWL_ANS
B34.3,label,"Infection parvovirale, siège non précisé","infection parvovirale, sans précision",OWL_ANS
B34.4,label,"Infection papovavirale, siège non précisé","infection papovavirale, sans précision",OWL_ANS
B35.6,label,Dermatophytose inguinocrurale [Tinea cruris],teigne du membre inférieur,OWL_ANS
B37.4,label,Candidose d'autres localisations urogénitales,candidose d'autres localisations uro-génitales,OWL_ANS
B37.7,label,Sepsis à Candida,septicémie à Candida,OWL_ANS
B42.1,label,Sporotrichose lymphocutanée,sporotrichose lympho-cutanée,OWL_ANS
B43,label,Chromomycose [chromoblastomycose] et abcès phæohyphomycosique,chromomycose [chromoblastomycose] et abcès phaeohyphomycosique,OWL_ANS
B43.1,label,Abcès phæohyphomycosique du cerveau,abcès phaeohyphomycosique du cerveau,OWL_ANS
B43.2,label,Abcès et kyste phæohyphomycosiques souscutanés,abcès et kyste phaeohyphomycosiques sous-cutanés,OWL_ANS
B55.2,label,Leishmaniose cutanéomuqueuse,leishmaniose cutanéo-muqueuse,OWL_ANS
B58.2,label,Méningoencéphalite à Toxoplasma ,méningo-encéphalite à Toxoplasma,OWL_ANS
B60.1,label,Acanthamœbiose,acanthamoebiose,OWL_ANS
B60.2,label,Nægleriase,naegleriase,OWL_ANS
B66.2,label,Dicrocœliase,dicrocoeliase,OWL_ANS
B69.1,label,Cysticercose de l'œil,cysticercose de l'oeil,OWL_ANS
B95.2,label,"Streptocoques, groupe D, et entérocoques, cause de maladies classées dans d'autres chapitres","streptocoques, groupe D, cause de maladies classées dans d'autres chapitres",OWL_ANS
B95.8,label,"Staphylocoques non précisés, cause de maladies classées dans d'autres chapitres","staphylocoque non précisé, cause de maladies classées dans d'autres chapitres",OWL_ANS
B96,label,"Autres agents bactériens précisés, cause de maladies classées dans d'autres chapitres","autres agents bactériens, cause de maladies classées dans d'autres chapitres",OWL_ANS
B96.5,label,"Pseudomonas (P. aeruginosa), cause de maladies classées dans d'autres chapitres","pseudomonas (P. aeruginosa) (P. mallei) (P. pseudomallei), cause de maladies classées dans d'autres chapitres",OWL_ANS
C00-C75,label,"Tumeurs malignes, primitives ou présumées primitives, de siège précisé, à l’exception des tissus lymphoïde, hématopoïétique et apparentés",tumeurs malignes,OWL_ANS
C00.0,label,"Tumeur maligne de la lèvre supérieure, bord libre","lèvre supérieure, bord libre",OWL_ANS
C00.1,label,"Tumeur maligne de la lèvre inférieure, bord libre","lèvre inférieure, bord libre",OWL_ANS
C00.2,label,"Tumeur maligne de la lèvre, sans précision, bord libre","lèvre, sans précision, bord libre",OWL_ANS
C00.3,label,"Tumeur maligne de la lèvre supérieure, face interne","lèvre supérieure, face interne",OWL_ANS
C00.4,label,"Tumeur maligne de la lèvre inférieure, face interne","lèvre inférieure, face interne",OWL_ANS
C00.5,label,"Tumeur maligne de la lèvre, sans précision, face interne","lèvre, sans précision, face interne",OWL_ANS
C00.6,label,Tumeur maligne de la commissure des lèvres,commissure des lèvres,OWL_ANS
C00.8,label,Tumeur maligne à localisations contiguës de la lèvre,lésion à localisations contiguës de la lèvre,OWL_ANS
C00.9,label,"Tumeur maligne de la lèvre, sans précision","lèvre, sans précision",OWL_ANS
C02.0,label,Tumeur maligne de la face dorsale de la langue,face dorsale de la langue,OWL_ANS
C02.1,label,Tumeur maligne de la point et du bord latéral de la langue,pointe et bords latéraux de la langue,OWL_ANS
C02.2,label,Tumeur maligne de la face antérieure de la langue,face inférieure de la langue,OWL_ANS
C02.3,label,"Tumeur maligne des deux tiers antérieurs de la langue, sans précision","deux tiers antérieurs de la langue, sans précision",OWL_ANS
C02.4,label,Tumeur maligne d'une amygdale linguale,amygdale linguale,OWL_ANS
C02.8,label,Tumeur maligne à localisations contiguës de la langue,lésion à localisations contiguës de la langue,OWL_ANS
C02.9,label,"Tumeur maligne de la langue, sans précision","langue, sans précision",OWL_ANS
C03.0,label,Tumeur maligne de la gencive supérieure,gencive supérieure,OWL_ANS
C03.1,label,Tumeur maligne de la gencive inférieure,gencive inférieure,OWL_ANS
C03.9,label,"Tumeur maligne de la gencive, sans précision","gencive, sans précision",OWL_ANS
C04.0,label,Tumeur maligne du plancher antérieur de la bouche,plancher antérieur de la bouche,OWL_ANS
C04.1,label,Tumeur maligne du plancher latéral de la bouche,plancher latéral de la bouche,OWL_ANS
C04.8,label,Tumeur maligne à localisations contiguës du plancher de la bouche,lésion à localisations contiguës du plancher de la bouche,OWL_ANS
C04.9,label,"Tumeur maligne du plancher de la bouche, sans précision","plancher de la bouche, sans précision",OWL_ANS
C05.0,label,Tumeur maligne de la voûte palatine,voûte palatine,OWL_ANS
C05.1,label,Tumeur maligne du voile du palais,voile du palais,OWL_ANS
C05.2,label,Tumeur maligne de la luette,luette,OWL_ANS
C05.8,label,Tumeur maligne à localisations contiguës du palais,lésion à localisations contiguës du palais,OWL_ANS
C05.9,label,"Tumeur maligne du palais, sans précision","palais, sans précision",OWL_ANS
C06.0,label,Tumeur maligne de la muqueuse de la joue,muqueuse de la joue,OWL_ANS
C06.1,label,Tumeur maligne du vestibule de la bouche,vestibule de la bouche,OWL_ANS
C06.2,label,Tumeur maligne de la région rétromolaire,région rétromolaire,OWL_ANS
C06.8,label,"Tumeur maligne à localisations contiguës de la bouche, parties autres et non précisées","lésion à localisations contiguës de la bouche, parties autres et non précisées",OWL_ANS
C06.9,label,"Tumeur maligne de la bouche, sans précision","bouche, sans précision",OWL_ANS
C08.0,label,Tumeur maligne de la glande sousmaxillaire,glande sous-maxillaire,OWL_ANS
C08.1,label,Tumeur maligne de la glande sublinguale,glande sublinguale,OWL_ANS
C08.8,label,Tumeur maligne à localisations contiguës des glandes salivaires principales,lésion à localisations contiguës des glandes salivaires principales,OWL_ANS
C08.9,label,"Tumeur maligne de la glande salivaire principale, sans précision","glande salivaire principale, sans précision",OWL_ANS
C09.0,label,Tumeur maligne de la fosse amygdalienne,fosse amygdalienne,OWL_ANS
C09.1,label,Tumeur maligne du pilier de l'amygdale (antérieur) (postérieur),pilier de l'amygdale (antérieur) (postérieur),OWL_ANS
C09.8,label,Tumeur maligne à localisations contiguës de l'amygdale,lésion à localisations contiguës de l'amygdale,OWL_ANS
C09.9,label,"Tumeur maligne de l'amygdale, sans précision","amygdale, sans précision",OWL_ANS
C10.0,label,Tumeur maligne du sillon glossoépiglottique,sillon glosso-épiglottique,OWL_ANS
C10.1,label,Tumeur maligne de la face antérieure de l'épiglotte,face antérieure de l'épiglotte,OWL_ANS
C10.2,label,Tumeur maligne de la paroi latérale de l'oropharynx,paroi latérale de l'oropharynx,OWL_ANS
C10.3,label,Tumeur maligne de la paroi postérieure de l'oropharynx,paroi postérieure de l'oropharynx,OWL_ANS
C10.4,label,Tumeur maligne de la fente branchiale,fente branchiale,OWL_ANS
C10.8,label,Tumeur maligne à localisations contiguës de l'oropharynx,lésion à localisations contiguës de l'oropharynx,OWL_ANS
C10.9,label,"Tumeur maligne de l'oropharynx, sans précision","oropharynx, sans précision",OWL_ANS
C11.0,label,Tumeur maligne de la paroi supérieure du rhinopharynx,paroi supérieure du rhinopharynx,OWL_ANS
C11.1,label,Tumeur maligne de la paroi postérieure du rhinopharynx,paroi postérieure du rhinopharynx,OWL_ANS
C11.2,label,Tumeur maligne de la paroi latérale du rhinopharynx,paroi latérale du rhinopharynx,OWL_ANS
C11.3,label,Tumeur maligne de la paroi antérieure du rhinopharynx,paroi antérieure du rhinopharynx,OWL_ANS
C11.8,label,Tumeur maligne à localisations contiguës de rhinopharynx,lésion à localisations contiguës de rhinopharynx,OWL_ANS
C11.9,label,"Tumeur maligne du rhinopharynx, sans précision","rhinopharynx, sans précision",OWL_ANS
C13.0,label,Tumeur maligne de la région rétrocricoïdienne,région rétro-cricoïdienne,OWL_ANS
C13.1,label,"Tumeur maligne du repli aryépiglottique, versant hypopharyngé","repli ary-épiglottique, versant hypopharyngé",OWL_ANS
C13.2,label,Tumeur maligne de la paroi postérieure de l'hypopharynx,paroi postérieure de l'hypopharynx,OWL_ANS
C13.8,label,Tumeur maligne à localisations contiguës de l'hypopharynx,lésion à localisations contiguës de l'hypopharynx,OWL_ANS
C13.9,label,"Tumeur maligne de l'hypopharynx, sans précision","hypopharynx, sans précision",OWL_ANS
C14.0,label,"Tumeur maligne du pharynx, sans précision","pharynx, sans précision",OWL_ANS
C14.2,label,Tumeur maligne de l'anneau de Waldeyer,anneau de Waldeyer,OWL_ANS
C14.8,label,"Tumeur maligne à localisations contiguës de la lèvre, de la cavité buccale et du pharynx","lésion à localisations contiguës de la lèvre, de la cavité buccale et du pharynx",OWL_ANS
C15.0,label,Tumeur maligne de l'oesophage cervical,oesophage cervical,OWL_ANS
C15.1,label,Tumeur maligne de l'oesophage thoracique,oesophage thoracique,OWL_ANS
C15.2,label,Tumeur maligne de l'oesophage abdominal,oesophage abdominal,OWL_ANS
C15.3,label,Tumeur maligne du tiers supérieur de l'oesophage,tiers supérieur de l'oesophage,OWL_ANS
C15.4,label,Tumeur maligne du tiers moyen de l'oesophage,tiers moyen de l'oesophage,OWL_ANS
C15.5,label,Tumeur maligne du tiers inférieur de l'oesophage,tiers inférieur de l'oesophage,OWL_ANS
C15.8,label,Tumeur maligne à localisations contiguës de l'oesophage,lésion à localisations contiguës de l'oesophage,OWL_ANS
C15.9,label,"Tumeur maligne de l'oesophage, sans précision","oesophage, sans précision",OWL_ANS
C16.0,label,Tumeur maligne du cardia,cardia,OWL_ANS
C16.1,label,Tumeur maligne du fundus,fundus,OWL_ANS
C16.2,label,Tumeur maligne du corps de l'estomac,corps de l'estomac,OWL_ANS
C16.3,label,Tumeur maligne de l'antre pylorique,antre pylorique,OWL_ANS
C16.4,label,Tumeur maligne du pylore,pylore,OWL_ANS
C16.5,label,"Tumeur maligne de la petite courbure de l'estomac, sans précision","petite courbure de l'estomac, sans précision",OWL_ANS
C16.6,label,"Tumeur maligne de la grande courbure de l'estomac, sans précision","grande courbure de l'estomac, sans précision",OWL_ANS
C16.8,label,Tumeur maligne à localisations contiguës de l'estomac,lésion à localisations contiguës de l'estomac,OWL_ANS
C16.9,label,"Tumeur maligne de l'estomac, sans précision","estomac, sans précision",OWL_ANS
C17.0,label,Tumeur maligne du duodénum,duodénum,OWL_ANS
C17.1,label,Tumeur maligne du jéjunum,jéjunum,OWL_ANS
C17.2,label,Tumeur maligne de l'iléon,iléon,OWL_ANS
C17.3,label,Tumeur maligne du diverticule de Meckel,diverticule de Meckel,OWL_ANS
C17.8,label,Tumeur maligne à localisations contiguës de l'intestin grêle,lésion à localisations contiguës de l'intestin grêle,OWL_ANS
C17.9,label,"Tumeur maligne de l'intestin grêle, sans précision","intestin grêle, sans précision",OWL_ANS
C18.0,label,Tumeur maligne du cæcum,caecum,OWL_ANS
C18.1,label,Tumeur maligne de l'appendice,appendice,OWL_ANS
C18.2,label,Tumeur maligne du côlon ascendant,côlon ascendant,OWL_ANS
C18.3,label,Tumeur maligne de l'angle droit du côlon,angle droit du côlon,OWL_ANS
C18.4,label,Tumeur maligne du côlon transverse,côlon transverse,OWL_ANS
C18.5,label,Tumeur maligne de l'angle gauche du côlon,angle gauche du côlon,OWL_ANS
C18.6,label,Tumeur maligne du côlon descendant,côlon descendant,OWL_ANS
C18.7,label,Tumeur maligne du côlon sigmoïde,côlon sigmoïde,OWL_ANS
C18.8,label,Tumeur maligne à localisations contiguës du côlon,lésion à localisations contiguës du côlon,OWL_ANS
C18.9,label,"Tumeur maligne du côlon, sans précision","côlon, sans précision",OWL_ANS
C19,label,Tumeur maligne de la jonction rectosigmoïdienne,tumeur maligne de la jonction recto-sigmoïdienne,OWL_ANS
C21.0,label,"Tumeur maligne de l'anus, sans précision","anus, sans précision",OWL_ANS
C21.1,label,Tumeur maligne du canal anal,canal anal,OWL_ANS
C21.2,label,Tumeur maligne de la zone cloacale,zone cloacale,OWL_ANS
C21.8,label,"Tumeur maligne à localisations contiguës du rectum, de l'anus et du canal anal","lésion à localisations contiguës du rectum, de l'anus et du canal anal",OWL_ANS
C22.9,label,"Tumeur maligne du foie, sans précision","foie, sans précision",OWL_ANS
C24.0,label,Tumeur maligne du canal biliaire extrahépatique,canal biliaire extra-hépatique,OWL_ANS
C24.1,label,Tumeur maligne de l'ampoule de Vater,ampoule de Vater,OWL_ANS
C24.8,label,Tumeur maligne à localisations contiguës des voies biliaires,lésion à localisations contiguës des voies biliaires,OWL_ANS
C24.9,label,"Tumeur maligne des voies biliaires, sans précision","voies biliaires, sans précision",OWL_ANS
C25.0,label,Tumeur maligne de la tête du pancréas,tête du pancréas,OWL_ANS
C25.1,label,Tumeur maligne du corps du pancréas,corps du pancréas,OWL_ANS
C25.2,label,Tumeur maligne de la queue du pancréas,queue du pancréas,OWL_ANS
C25.3,label,Tumeur maligne du canal pancréatique,canal pancréatique,OWL_ANS
C25.4,label,Tumeur maligne du pancréas endocrine,pancréas endocrine,OWL_ANS
C25.7,label,Tumeur maligne d'autres parties du pancréas,autres parties du pancréas,OWL_ANS
C25.8,label,Tumeur maligne à localisations contiguës du pancréas,lésion à localisations contiguës du pancréas,OWL_ANS
C25.9,label,"Tumeur maligne du pancréas, sans précision","pancréas, sans précision",OWL_ANS
C26.0,label,"Tumeur maligne du tractus intestinal, partie non précisée","tractus intestinal, partie non précisée",OWL_ANS
C26.1,label,Tumeur maligne de la rate,rate,OWL_ANS
C26.8,label,Tumeur maligne à localisations contiguës de l'appareil digestif,lésion à localisations contiguës de l'appareil digestif,OWL_ANS
C26.9,label,Tumeur maligne de sièges mal définis de l'appareil digestif,sièges mal définis de l'appareil digestif,OWL_ANS
C30.0,label,Tumeur maligne des fosses nasales,fosses nasales,OWL_ANS
C30.1,label,Tumeur maligne de l'oreille moyenne,oreille moyenne,OWL_ANS
C31.0,label,Tumeur maligne du sinus maxillaire,sinus maxillaire,OWL_ANS
C31.1,label,Tumeur maligne du sinus ethmoïdal,sinus ethmoïdal,OWL_ANS
C31.2,label,Tumeur maligne du sinus frontal,sinus frontal,OWL_ANS
C31.3,label,Tumeur maligne du sinus sphénoïdal,sinus sphénoïdal,OWL_ANS
C31.8,label,Tumeur maligne à localisations contiguës des sinus de la face,lésion à localisations contiguës des sinus de la face,OWL_ANS
C31.9,label,"Tumeur maligne des sinus de la face, sans précision","sinus de la face, sans précision",OWL_ANS
C32.0,label,Tumeur maligne de la glotte,glotte,OWL_ANS
C32.1,label,Tumeur maligne de l'étage susglottique,étage sus-glottique,OWL_ANS
C32.2,label,Tumeur maligne de l'étage sousglottique,étage sous-glottique,OWL_ANS
C32.3,label,Tumeur maligne du cartilage laryngé,cartilage laryngé,OWL_ANS
C32.8,label,Tumeur maligne à localisations contiguës du larynx,lésion à localisations contiguës du larynx,OWL_ANS
C32.9,label,"Tumeur maligne du larynx, sans précision","larynx, sans précision",OWL_ANS
C34.0,label,Tumeur maligne de la bronche souche,bronche souche,OWL_ANS
C34.1,label,"Tumeur maligne du lobe supérieur, bronches ou poumon","lobe supérieur, bronches ou poumon",OWL_ANS
C34.2,label,"Tumeur maligne du lobe moyen, bronches ou poumon","lobe moyen, bronches ou poumon",OWL_ANS
C34.3,label,"Tumeur maligne du lobe inférieur, bronches ou poumon","lobe inférieur, bronches ou poumon",OWL_ANS
C34.8,label,Tumeur maligne à localisations contiguës des bronches et du poumon,lésion à localisations contiguës des bronches et du poumon,OWL_ANS
C34.9,label,"Tumeur maligne de bronche ou du poumon, sans précision","bronche ou poumon, sans précision",OWL_ANS
C38.0,label,Tumeur maligne du coeur,coeur,OWL_ANS
C38.1,label,Tumeur maligne du médiastin antérieur,médiastin antérieur,OWL_ANS
C38.2,label,Tumeur maligne du médiastin postérieur,médiastin postérieur,OWL_ANS
C38.3,label,"Tumeur maligne du médiastin, partie non précisée","médiastin, partie non précisée",OWL_ANS
C38.4,label,Tumeur maligne de la plèvre,plèvre,OWL_ANS
C38.8,label,"Tumeur maligne à localisations contiguës du coeur, du médiastin et de la plèvre","lésion à localisations contiguës du coeur, du médiastin et de la plèvre",OWL_ANS
C39.0,label,"Tumeur maligne des voies respiratoires supérieures, partie non précisée","voies respiratoires supérieures, partie non précisée",OWL_ANS
C39.8,label,Tumeur maligne à localisations contiguës des organes respiratoires et intrathoraciques,lésion à localisations contiguës des organes respiratoires et intrathoraciques,OWL_ANS
C39.9,label,Tumeur maligne de sièges mal définis de l'appareil respiratoire,sièges mal définis de l'appareil respiratoire,OWL_ANS
C40.0,label,Tumeur maligne de l'omoplate et des os longs du membre supérieur,omoplate et os longs du membre supérieur,OWL_ANS
C40.1,label,Tumeur maligne des os courts du membre supérieur,os courts du membre supérieur,OWL_ANS
C40.2,label,Tumeur maligne des os longs du membre inférieur,os longs du membre inférieur,OWL_ANS
C40.3,label,Tumeur maligne des os courts du membre inférieur,os courts du membre inférieur,OWL_ANS
C40.8,label,Tumeur maligne à localisations contiguës des os et du cartilage articulaire des membres,lésion à localisations contiguës des os et du cartilage articulaire des membres,OWL_ANS
C40.9,label,"Tumeur maligne des os et du cartilage articulaire d'un membre, sans précision","os et cartilage articulaire d'un membre, sans précision",OWL_ANS
C41.0,label,Tumeur maligne des os du crâne et de la face,os du crâne et de la face,OWL_ANS
C41.1,label,Tumeur maligne de la mandibule,mandibule,OWL_ANS
C41.2,label,Tumeur maligne du rachis,rachis,OWL_ANS
C41.3,label,"Tumeur maligne des côtes, du sternum et de la clavicule","côtes, sternum et clavicule",OWL_ANS
C41.4,label,"Tumeur maligne des os du pelvis, du sacrum et du coccyx","pelvis, sacrum et coccyx",OWL_ANS
C41.8,label,Tumeur maligne à localisations contiguës des os et du cartilage articulaire,lésion à localisations contiguës des os et du cartilage articulaire,OWL_ANS
C41.9,label,"Tumeur maligne des os et du cartilage articulaire, sans précision","os et cartilage articulaire, sans précision",OWL_ANS
C44.0,label,Tumeur maligne de la face cutanée de la lèvre,face cutanée de la lèvre,OWL_ANS
C44.1,label,"Tumeur maligne de la peau de la paupière, y compris le canthus","peau de la paupière, y compris le canthus",OWL_ANS
C44.2,label,Tumeur maligne de la peau de l'oreille et du conduit auditif externe,peau de l'oreille et du conduit auditif externe,OWL_ANS
C44.3,label,"Tumeur maligne de la peau de la face, parties autres et non précisées","peau de la face, parties autres et non précisées",OWL_ANS
C44.4,label,Tumeur maligne de la peau du cuir chevelu et du cou,peau du cuir chevelu et du cou,OWL_ANS
C44.5,label,Tumeur maligne de la peau du tronc,peau du tronc,OWL_ANS
C44.6,label,"Tumeur maligne de la peau du membre supérieur, y compris l'épaule","peau du membre supérieur, y compris l'épaule",OWL_ANS
C44.7,label,"Tumeur maligne de la peau du membre inférieur, y compris la hanche","peau du membre inférieur, y compris la hanche",OWL_ANS
C44.8,label,Tumeur maligne à localisations contiguës de la peau,lésion à localisations contiguës de la peau,OWL_ANS
C47.0,label,"Tumeur maligne des nerfs périphériques de la tête, de la face et du cou","nerfs périphériques de la tête, de la face et du cou",OWL_ANS
C47.1,label,"Tumeur maligne des nerfs périphériques du membre supérieur, y compris l'épaule","nerfs périphériques du membre supérieur, y compris l'épaule",OWL_ANS
C47.2,label,"Tumeur maligne des nerfs périphériques du membre inférieur, y compris la hanche","nerfs périphériques du membre inférieur, y compris la hanche",OWL_ANS
C47.3,label,Tumeur maligne des nerfs périphériques du thorax,nerfs périphériques du thorax,OWL_ANS
C47.4,label,Tumeur maligne des nerfs périphériques de l'abdomen,nerfs périphériques de l'abdomen,OWL_ANS
C47.5,label,Tumeur maligne des nerfs périphériques du pelvis,nerfs périphériques du pelvis,OWL_ANS
C47.6,label,"Tumeur maligne des nerfs périphériques du tronc, sans précision","nerfs périphériques du tronc, sans précision",OWL_ANS
C47.8,label,Tumeur maligne à localisations contiguës des nerfs périphériques et du système nerveux autonome,lésion à localisations contiguës des nerfs périphériques et du système nerveux autonome,OWL_ANS
C47.9,label,"Tumeur maligne des nerfs périphériques et du système nerveux autonome, sans précision","nerfs périphériques et système nerveux autonome, sans précision",OWL_ANS
C48.0,label,Tumeur maligne du rétropéritoine,rétropéritoine,OWL_ANS
C48.1,label,Tumeur maligne des parties précisées du péritoine,parties précisées du péritoine,OWL_ANS
C48.2,label,"Tumeur maligne du péritoine, sans précision","péritoine, sans précision",OWL_ANS
C48.8,label,Tumeur maligne à localisations contiguës du rétropéritoine et du péritoine,lésion à localisations contiguës du rétropéritoine et du péritoine,OWL_ANS
